Partida,Código interno,Descripción,Año,Pto inicial,Oblig. recon.
1 02.601.03.150.10 2008 (4739),4739,S.BARBARAKO HARROBIA BIRGAITZEA,2008,0.0,19732.34
1 05.643.01.160.00 2011 (4792),4792,UR SAREAREN SEKTORIZAZIOA,2011,0.0,71738.89
1 01.601.01.150.10 2013 (4827),4827,AZPIEGITURAK ETA URBANIZAZIOAK,2013,0.0,14701.5
1 02.226.06.342.00 2013 (4811),4811,EKINTZAK: KIROL JOLASGARRIAK,2013,0.0,0.0
1 02.481.02.230.02 2013 (4803),4803,TRANSFERENTZIA: HIRUGARREN MUNDUA,2013,0.0,38164.76
1 02.481.03.922.00 2013 (4829),4829,EKARPENA:EUDEL,2013,0.0,0.0
1 02.622.01.150.10 2013 (4820),4820,ERAIKUNTZAK: HIRIGINTZA,2013,0.0,35000.0
1 02.622.01.342.00 2013 (4818),4818,TABERNA EGOKITZEA-IGERILEKUAK,2013,0.0,7858.95
1 02.644.01.920.20 2013 (4746),4746,APLIKAZIO INFORMATIKOAK,2013,0.0,0.0
1 05.623.02.161.00 2013 (4789),4789,INSTALAZIOAK: UR HORNIDURA,2013,0.0,0.0
1 02.211.01.342.00 2014 (4692),4692,MANTEN:KIROLDEGIA,2014,0.0,16094.45
1 02.211.01.342.03 2014 (4805),4805,MANTEN:LANDARE ZELAIA,2014,0.0,8566.98
1 02.211.01.342.09 2014 (4806),4806,MANTEN:B.KIROL INSTALAKUNTZAK,2014,0.0,0.0
1 02.221.14.342.00 2014 (4810),4810,KIROL MATERIALA,2014,0.0,2976.59
1 02.226.03.323.00 2014 (4793),4793,PUBLIZITATEA:IKASTETXEAK,2014,0.0,4570.0
1 02.226.03.334.00 2014 (4700),4700,PUBLIZITATEA: KULTURA ZERBITZUA,2014,0.0,0.0
1 02.226.06.323.00 2014 (4794),4794,KULTUR EKINTZAK:IKASTETXEAK,2014,0.0,2898.62
1 02.226.06.334.00 2014 (4702),4702,KULTUR EKINTZAK,2014,0.0,2377.65
1 02.226.06.335.00 2014 (4704),4704,EKINTZA-KANPAINA:EUSKARA ZERBITZUA,2014,0.0,278.3
1 02.226.06.342.00 2014 (4812),4812,EKINTZAK: KIROL JOLASGARRIAK,2014,0.0,3528.0
1 02.226.96.231.02 2014 (4801),4801,H.GASTU:INMIGRAZIOA,2014,0.0,1800.0
1 02.226.99.170.00 2014 (4709),4709,H.GASTU: INGURUGIROA,2014,0.0,151.47
1 02.226.99.231.00 2014 (4825),4825,H.GASTU:BERDINTASUNA,2014,0.0,13299.3
1 02.226.99.241.03 2014 (4796),4796,FUNTZ.GASTU:ikastaroak,2014,0.0,5590.67
1 02.226.99.332.10 2014 (4711),4711,H.GASTU:LIBURUTEGIA,2014,0.0,0.0
1 02.226.99.335.20 2014 (4713),4713,BURUNTZALD.EUSKERA EGITASMOAK,2014,0.0,0.0
1 02.226.99.335.50 2014 (4715),4715,H.GASTU:EUSKARA IRAKASKUNTZA,2014,0.0,2300.0
1 02.227.04.334.10 2014 (4719),4719,KULTURAKO TAILERREN KONTRATOA,2014,0.0,0.0
1 02.227.07.170.00 2014 (4720),4720,AZTERKETAK:INGURUGIROA,2014,0.0,7834.75
1 02.227.99.150.00 2014 (4725),4725,HIRIGINTZA AHOLKUL.KONTRATUA,2014,0.0,0.0
1 02.227.99.231.03 2014 (4824),4824,GAZTEEN INGURUKO IKERKETA,2014,0.0,0.0
1 02.227.99.334.10 2014 (4726),4726,AUZOET.HAUR TAIL.KONTRATUA,2014,0.0,0.0
1 02.227.99.920.00 2014 (4721),4721,HAINB.KONTRATU ADMIN.OROKORRA,2014,0.0,0.0
1 02.227.99.920.20 2014 (4723),4723,INFORMATIKA KANPO LANAK,2014,0.0,3630.0
1 02.419.01.922.00 2014 (4828),4828,EKARPENA:EUDEL,2014,0.0,0.0
1 02.421.01.432.00 2014 (4728),4728,BEHEMENDIREKIKO TURISMO HITZARMENA,2014,0.0,0.0
1 02.481.01.323.00 2014 (4800),4800,DIRULAG:IKASTETXEAK KANPOKO EKINTZ,2014,0.0,3599.0
1 02.481.01.334.00 2014 (4732),4732,DIRULAG:KULTURA(NORGEHIAGOKA),2014,0.0,0.0
1 02.481.01.912.00 2014 (4730),4730,DIRULAGUNTZAK:GOBERNU ORGANOAK,2014,0.0,4000.0
1 02.481.02.230.02 2014 (4804),4804,TRANSFERENTZIA: HIRUGARREN MUNDUA,2014,0.0,34783.1
1 02.481.02.241.00 2014 (4733),4733,BERRIAK-KULTUR EKINTZ LAGUNTZA,2014,0.0,5600.0
1 02.481.02.335.00 2014 (4734),4734,DIRULAG.:EUSKARA (ZUZENAK),2014,0.0,1455.0
1 02.481.02.912.00 2014 (4736),4736,EKARPENA:UDALBILTZA,2014,0.0,15000.0
1 02.481.05.924.00 2014 (4737),4737,AUZOLAN PROGRAMAK,2014,0.0,5071.09
1 02.601.01.150.10 2014 (4826),4826,AZPIEGITURAK ETA URBANIZAZIOAK,2014,0.0,560623.51
1 02.622.01.150.10 2014 (4821),4821,ERAIKUNTZAK: HIRIGINTZA,2014,0.0,1272.53
1 02.622.01.342.00 2014 (4815),4815,KIROLDEGIA-HOBEKUNTZAK,2014,0.0,64407.5
1 02.623.99.334.00 2014 (4740),4740,KULTUR ETXEA-INSTALAZIOAK,2014,0.0,0.0
1 02.624.01.132.00 2014 (4741),4741,IBILGAILUA-UDALTZAINGOA,2014,0.0,0.0
1 02.626.01.920.20 2014 (4742),4742,INFORMAZIO-PROZESUETARAKO EKIPOAK,2014,0.0,1735.88
1 02.629.01.341.00 2014 (4819),4819,KIROL SAILA-INBERTSIOAK,2014,0.0,62278.16
1 02.643.01.150.10 2014 (4745),4745,PROIEKTUAK: HIRIGINTZA,2014,0.0,19359.99
1 02.644.01.920.20 2014 (4747),4747,APLIKAZIO INFORMATIKOAK,2014,0.0,9256.5
1 02.681.01.931.00 2014 (4748),4748,L.U.O. INBERTSIOAK,2014,0.0,0.0
1 05.210.01.153.20 2014 (4754),4754,MANTEN:HERRIKO KALEAK,2014,0.0,7131.74
1 05.210.01.153.70 2014 (4756),4756,MANTEN:LANDA BIDEAK,2014,0.0,19237.06
1 05.210.01.161.00 2014 (4751),4751,MANTEN:URAK,2014,0.0,3500.0
1 05.211.01.323.10 2014 (4758),4758,MANTEN.ERAIKINAK:IKASTETXEAK,2014,0.0,6831.16
1 05.211.01.920.02 2014 (4759),4759,MANTEN:UDAL ERAIKINAK,2014,0.0,12699.95
1 05.212.01.153.50 2014 (4767),4767,MANT.MAKIN:PABILOIA,2014,0.0,155.85
1 05.212.01.323.10 2014 (4765),4765,MANT.MAKIN:IKASTETXEAK,2014,0.0,1090.95
1 05.212.01.323.30 2014 (4764),4764,MANT.MAKIN:HAUR-ESKOLA,2014,0.0,155.85
1 05.212.01.326.01 2014 (4693),4693,MANT.MAKIN:MUSIKA ESKOLA,2014,0.0,3233.54
1 05.212.01.326.03 2014 (4763),4763,MANT.MAKIN:H.I.I.,2014,0.0,155.85
1 05.212.01.333.00 2014 (4768),4768,MANT.MAKIN:KULTUR ETXEA,2014,0.0,155.85
1 05.212.01.414.00 2014 (4769),4769,MANT.MAKIN:INGURUN.HOBEKUNTZA,2014,0.0,0.0
1 05.212.01.920.01 2014 (4761),4761,MANT.MAKIN:UDALETXEA,2014,0.0,613.15
1 05.212.01.920.02 2014 (4766),4766,MANT.MAKIN:UDAL ERAIKINAK,2014,0.0,2136.46
1 05.212.01.929.10 2014 (4762),4762,MANT.MAKIN:EPAITEGIA,2014,0.0,155.85
1 05.226.98.241.00 2014 (4772),4772,TOKIKO GARAPENA-EKIMENAK,2014,0.0,138603.69
1 05.226.99.162.10 2014 (4775),4775,H.GASTU:HONDAKINEN KUDEAKETA,2014,0.0,0.0
1 05.227.01.920.02 2014 (4777),4777,GARBITZEKO KONT:UDAL ERAIKINAK,2014,0.0,0.0
1 05.227.98.153.50 2014 (4779),4779,KARTOGRAFIEN MANTENTZE KONTRATUA,2014,0.0,12548.88
1 05.227.99.311.01 2014 (4781),4781,KONTRATUA:KOMUNAK,2014,0.0,0.0
1 05.471.01.441.10 2014 (4784),4784,DIRULAG:UDAL GARRAIOA,2014,0.0,65289.96
1 05.481.01.334.10 2014 (4823),4823,DIRULAG:AUZO ELKARTEAK,2014,0.0,973.99
1 05.601.01.153.20 2014 (4786),4786,AZPIEGITURA ETA URBANIZ.:HERRIKO KALEAK,2014,0.0,35358.46
1 05.609.01.153.30 2014 (4787),4787,BESTEL.INBERTSIOAK: HERRIKO KALEAK,2014,0.0,23565.96
1 05.623.02.161.00 2014 (4790),4790,INSTALAZIOAK: UR HORNIDURA,2014,0.0,3193.97
1 05.625.99.162.10 2014 (4791),4791,KONPOST KOMUNITARIOA EGITEKO MATERIALA,2014,0.0,0.0
1 01.100.01.912.00 2015 (4245),4245,ORDAINKETAK:GOBERNU ORGANOAK,2015,78659.0,95346.7
1 01.110.01.912.00 2015 (4246),4246,ALDI BAT.PERTS:GOBERNU ORGANOAK,2015,97477.0,112267.63
1 01.120.01.132.00 2015 (4247),4247,FUN.OINA.ORD:UDALTZAINGOA,2015,375433.0,318424.32
1 01.120.01.150.00 2015 (4248),4248,FUN.OINA.ORD:HIRIGINTZA,2015,114248.0,84765.7
1 01.120.01.153.40 2015 (4249),4249,FUN.OINA.ORD:OBRETAKO LANTALDEA,2015,146735.0,125037.09
1 01.120.01.153.50 2015 (4250),4250,FUN.OINA.ORD:ZERBITZU PUBLIKOAK,2015,28148.0,31210.58
1 01.120.01.161.00 2015 (4251),4251,FUN.OINA.ORD:UR HORNIDURA,2015,31163.0,26090.89
1 01.120.01.164.00 2015 (4252),4252,FUN.OINA.ORD:HILERRIA,2015,8125.0,7159.77
1 01.120.01.165.00 2015 (4253),4253,FUN.OINA.ORD:KALEKO ARGIKUNTZA,2015,51117.0,51019.5
1 01.120.01.170.00 2015 (4254),4254,FUN.OINA.ORD:INGURUGIROA,2015,37134.0,36531.52
1 01.120.01.171.00 2015 (4255),4255,FUN.OINA.ORD:PARKEAK ETA LORATEGIAK,2015,14385.0,14436.1
1 01.120.01.230.02 2015 (4256),4256,FUN.OINA.ORD:LANKIDETZA,2015,1767.0,2124.12
1 01.120.01.231.00 2015 (4257),4257,FUN.OINA.ORD:BERDINTASUNA,2015,41695.0,33796.89
1 01.120.01.231.03 2015 (4836),4836,FUN.OINA.ORD: GAZTERIA.,2015,0.0,4390.57
1 01.120.01.241.00 2015 (4258),4258,FUNTZ. OINARR.: TOKI GARAPENA,2015,30750.0,56413.85
1 01.120.01.323.00 2015 (4259),4259,FUN.OINA.ORD:IKASTETXEAK,2015,31518.0,37729.32
