#Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.100.01.912.00 2017,4245.0,SOLDATAK.GOBERNU ORGANOAK,160463.0,160463.0,0.0,167344.2,-6881.2,167344.2,167344.2,167344.2,167344.2,2017,91200,,1,,01
1 01.110.01.912.00 2017,4246.0,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,72441.0,72441.0,0.0,77538.72,-5097.72,77538.72,77538.72,77538.72,77538.72,2017,91200,,1,,01
1 01.120.01.132.00 2017,4247.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UDALTZAI,347872.0,347872.0,0.0,324860.18,23011.82,324860.18,324860.18,324860.18,324860.18,2017,13200,,1,,01
1 01.120.01.151.00 2017,4248.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HIRIGINT,115688.0,126595.0,0.0,97543.98,29051.02,97543.98,97543.98,97543.98,97543.98,2017,15100,,1,,01
1 01.120.01.153.40 2017,4249.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.OBRETAKO,165912.0,165912.0,0.0,155129.56,10782.44,155129.56,155129.56,152786.25,155129.56,2017,15340,,1,,01
1 01.120.01.161.00 2017,4251.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UR HORNI,48601.0,48601.0,0.0,40720.62,7880.38,40720.62,40720.62,40720.62,40720.62,2017,16100,,1,,01
1 01.120.01.164.00 2017,4252.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HILERRIA,8657.0,8657.0,0.0,8709.81,-52.81,8709.81,8709.81,8709.81,8709.81,2017,16400,,1,,01
1 01.120.01.165.00 2017,4253.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.KALEKO A,21574.0,21574.0,0.0,28886.51,-7312.51,28886.51,28886.51,28886.51,28886.51,2017,16500,,1,,01
1 01.120.01.171.00 2017,4255.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.PARKEAK,14581.0,14581.0,0.0,305.38,14275.62,305.38,305.38,305.38,305.38,2017,17100,,1,,01
1 01.120.01.172.20 2017,4254.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.INGURUGI,38189.0,38189.0,0.0,38568.53,-379.53,38568.53,38568.53,38568.53,38568.53,2017,17220,,1,,01
1 01.120.01.231.00 2017,4257.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.BERDINTA,44756.0,44756.0,0.0,40843.95,3912.05,40843.95,40843.95,40843.95,40843.95,2017,23100,,1,,01
1 01.120.01.231.01 2017,4256.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.LANKIDET,918.0,918.0,0.0,769.63,148.37,769.63,769.63,769.63,769.63,2017,23101,,1,,01
1 01.120.01.231.03 2017,4867.0,FUNTZIONARIOA.SOLDATA.OINARRIA. GAZTERIA,14927.0,14927.0,0.0,9616.6,5310.4,9616.6,9616.6,9616.6,9616.6,2017,23103,,1,,01
1 01.120.01.241.00 2017,4258.0,FUNTZIONARIOA.SOLDATA.OINARRIA. TOKI GAR,50619.0,50619.0,0.0,55863.03,-5244.03,55863.03,55863.03,55863.03,55863.03,2017,24100,,1,,01
1 01.120.01.241.02 2017,5564.0,FUNTZIONARIOA.SOLDATA.OINARRIA. LANBIDE,0.0,0.0,0.0,11830.28,-11830.28,11830.28,11830.28,11830.28,11830.28,2017,24102,,1,,01
1 01.120.01.323.10 2017,4259.0,FUNTZIONARIOA.SOLDATA.OINARRIA.IKASTETXE,31109.0,31109.0,0.0,38768.64,-7659.64,38768.64,38768.64,38768.64,38768.64,2017,32310,,1,,01
1 01.120.01.326.01 2017,4261.0,FUNTZIONARIOA.SOLDATA.OINARRIA.MUSIKA ES,222600.0,222600.0,0.0,224491.53,-1891.53,224491.53,224491.53,224491.53,224491.53,2017,32601,,1,,01
1 01.120.01.330.00 2017,4262.0,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTURA Z,29452.0,29452.0,0.0,29744.51,-292.51,29744.51,29744.51,29744.51,29744.51,2017,33000,,1,,01
1 01.120.01.332.10 2017,4263.0,FUNTZIONARIOA.SOLDATA.OINARRIA.LIBURUTEG,74886.0,74886.0,0.0,83216.66,-8330.66,83216.66,83216.66,83216.66,83216.66,2017,33210,,1,,01
1 01.120.01.333.00 2017,4264.0,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTUR ET,19817.0,19817.0,0.0,22376.34,-2559.34,22376.34,22376.34,22376.34,22376.34,2017,33300,,1,,01
1 01.120.01.335.00 2017,4265.0,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA Z,64736.0,64736.0,0.0,59849.8,4886.2,59849.8,59849.8,59849.8,59849.8,2017,33500,,1,,01
1 01.120.01.335.10 2017,4266.0,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKALTEG,135148.0,135148.0,0.0,144944.93,-9796.93,144944.93,144944.93,144944.93,144944.93,2017,33510,,1,,01
1 01.120.01.335.30 2017,4267.0,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA P,38739.0,38739.0,0.0,32071.09,6667.91,32071.09,32071.09,32071.09,32071.09,2017,33530,,1,,01
1 01.120.01.335.40 2017,5566.0,FUNTZIONARIOA.SOLDATA.OINARRIA.UDALEKUA,0.0,0.0,0.0,44899.56,-44899.56,44899.56,44899.56,44899.56,44899.56,2017,33540,,1,,01
1 01.120.01.342.00 2017,4269.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.KIROLDEG,183626.0,183626.0,0.0,180438.89,3187.11,180438.89,180438.89,180438.89,180438.89,2017,34200,,1,,01
1 01.120.01.342.01 2017,4270.0,FUNTZIONARIOA.SOLDATA.OINARRIA.IGERILEKU,3819.0,3819.0,0.0,560.58,3258.42,560.58,560.58,560.58,560.58,2017,34201,,1,,01
1 01.120.01.414.00 2017,4271.0,FUNTZIONARIOA.SOLDATA.OINARRIA.INGURUNEA,10997.0,10997.0,0.0,10237.76,759.24,10237.76,10237.76,10237.76,10237.76,2017,41400,,1,,01
1 01.120.01.432.00 2017,4272.0,FUNTZIONARIOA.SOLDATA.OINARRIA.TURISMOA,17661.0,17661.0,0.0,17968.71,-307.71,17968.71,17968.71,17968.71,17968.71,2017,43200,,1,,01
1 01.120.01.920.00 2017,4273.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINISTR,127177.0,127177.0,0.0,136570.92,-9393.92,136570.92,136570.92,136570.92,136570.92,2017,92000,,1,,01
1 01.120.01.920.10 2017,4274.0,FUNTZIONARIOA.SOLDATA.OINARRIA.PERTSONAL,46316.0,46316.0,0.0,47193.68,-877.68,47193.68,47193.68,47193.68,47193.68,2017,92010,,1,,01
1 01.120.01.920.11 2017,4275.0,FUNTZIONARIOA.SOLDATA.OINARRIA.SEGURTASU,19028.0,19028.0,0.0,20270.03,-1242.03,20270.03,20270.03,20270.03,20270.03,2017,92011,,1,,01
1 01.120.01.920.20 2017,4276.0,FUNTZIONARIOA.SOLDATA.OINARRIA.INFORMATI,29830.0,29830.0,0.0,30657.4,-827.4,30657.4,30657.4,30657.4,30657.4,2017,92020,,1,,01
1 01.120.01.920.30 2017,4277.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ARTXIBOA,19012.0,19012.0,0.0,19200.32,-188.32,19200.32,19200.32,19200.32,19200.32,2017,92030,,1,,01
1 01.120.01.929.10 2017,4278.0,FUNTZIONARIOA.SOLDATA.OINARRIA.BAKE EPAI,3824.0,3824.0,0.0,2830.26,993.74,2830.26,2830.26,2830.26,2830.26,2017,92910,,1,,01
1 01.120.01.931.00 2017,4279.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINIST.,115013.0,115013.0,0.0,116627.91,-1614.91,116627.91,116627.91,116627.91,116627.91,2017,93100,,1,,01
1 01.120.01.932.00 2017,4280.0,FUNTZIONARIOA.SOLDATA.OINARRIA.BILKETA,68026.0,68026.0,0.0,64701.83,3324.17,64701.83,64701.83,64701.83,64701.83,2017,93200,,1,,01
1 01.120.01.933.00 2017,4281.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ONDAREA-K,33309.0,33309.0,0.0,46104.88,-12795.88,46104.88,46104.88,48448.19,46104.88,2017,93300,,1,,01
1 01.121.06.920.10 2017,4282.0,LANGILEEN ORDEZKAPENETARAKO POLTSA,99452.0,99452.0,0.0,0.0,99452.0,0.0,0.0,0.0,0.0,2017,92010,,1,,01
1 01.121.99.132.00 2017,4283.0,FUNTZIONARIOAK.SOLDATA.OSAGARRIA.UDALTZA,769669.0,769669.0,0.0,761551.67,8117.33,761551.67,761551.67,761551.67,761551.67,2017,13200,,1,,01
1 01.121.99.151.00 2017,4284.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HIRIGINT,175304.0,193262.0,0.0,150871.56,42390.44,150871.56,150871.56,150871.56,150871.56,2017,15100,,1,,01
1 01.121.99.153.40 2017,4285.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.OBRETAKO,294686.0,294686.0,0.0,359004.86,-64318.86,359004.86,359004.86,359004.86,359004.86,2017,15340,,1,,01
1 01.121.99.161.00 2017,4287.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UR HORNI,93079.0,93079.0,0.0,79402.48,13676.52,79402.48,79402.48,79402.48,79402.48,2017,16100,,1,,01
1 01.121.99.164.00 2017,4288.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HILERRIA,17645.0,17645.0,0.0,17515.62,129.38,17515.62,17515.62,17515.62,17515.62,2017,16400,,1,,01
1 01.121.99.165.00 2017,4289.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KALEKO A,40961.0,40961.0,0.0,57621.7,-16660.7,57621.7,57621.7,57621.7,57621.7,2017,16500,,1,,01
1 01.121.99.171.00 2017,4291.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.PARKEAK,19460.0,19460.0,0.0,7048.08,12411.92,7048.08,7048.08,7048.08,7048.08,2017,17100,,1,,01
1 01.121.99.172.20 2017,4290.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUGI,39677.0,39677.0,0.0,39998.07,-321.07,39998.07,39998.07,39998.07,39998.07,2017,17220,,1,,01
1 01.121.99.231.00 2017,4293.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BERDINTA,59668.0,59668.0,0.0,65145.14,-5477.14,65145.14,65145.14,65145.14,65145.14,2017,23100,,1,,01
1 01.121.99.231.01 2017,4292.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LANKIDET,1914.0,1914.0,0.0,2261.33,-347.33,2261.33,2261.33,2261.33,2261.33,2017,23101,,1,,01
1 01.121.99.231.03 2017,4869.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA. GAZTERI,20152.0,20152.0,0.0,15543.75,4608.25,15543.75,15543.75,15543.75,15543.75,2017,23103,,1,,01
1 01.121.99.241.00 2017,4294.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TOKI GAR,70234.0,70234.0,0.0,80755.91,-10521.91,80755.91,80755.91,80755.91,80755.91,2017,24100,,1,,01
1 01.121.99.241.02 2017,5565.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.,0.0,0.0,0.0,20550.68,-20550.68,20550.68,20550.68,20550.68,20550.68,2017,24102,,1,,01
1 01.121.99.323.10 2017,4295.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IKASTETX,62476.0,62476.0,0.0,85143.28,-22667.28,85143.28,85143.28,85143.28,85143.28,2017,32310,,1,,01
1 01.121.99.326.01 2017,4297.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.MUSIKA E,245928.0,245928.0,0.0,253374.67,-7446.67,253374.67,253374.67,253374.67,253374.67,2017,32601,,1,,01
1 01.121.99.330.00 2017,4298.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTURA,42535.0,42535.0,0.0,42909.89,-374.89,42909.89,42909.89,42909.89,42909.89,2017,33000,,1,,01
1 01.121.99.332.10 2017,4299.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LIBURUTE,82565.0,82565.0,0.0,116490.57,-33925.57,116490.57,116490.57,116490.57,116490.57,2017,33210,,1,,01
1 01.121.99.333.00 2017,4300.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTUR E,28801.0,28801.0,0.0,72106.57,-43305.57,72106.57,72106.57,72106.57,72106.57,2017,33300,,1,,01
1 01.121.99.335.00 2017,4301.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,75388.0,75388.0,0.0,92499.81,-17111.81,92499.81,92499.81,92499.81,92499.81,2017,33500,,1,,01
1 01.121.99.335.10 2017,4302.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKALTE,152169.0,152169.0,0.0,161648.93,-9479.93,161648.93,161648.93,161648.93,161648.93,2017,33510,,1,,01
1 01.121.99.335.30 2017,4303.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,37257.0,37257.0,0.0,31763.98,5493.02,31763.98,31763.98,31763.98,31763.98,2017,33530,,1,,01
1 01.121.99.335.40 2017,4304.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UDALEKUA,64000.0,64000.0,0.0,10382.75,53617.25,10382.75,10382.75,10382.75,10382.75,2017,33540,,1,,01
1 01.121.99.342.00 2017,4305.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KIROLDEG,257875.0,257875.0,0.0,273586.21,-15711.21,273586.21,273586.21,273586.21,273586.21,2017,34200,,1,,01
1 01.121.99.342.01 2017,4306.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IGERILEK,11016.0,11016.0,0.0,973.86,10042.14,973.86,973.86,973.86,973.86,2017,34201,,1,,01
1 01.121.99.414.00 2017,4307.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUNE,18742.0,18742.0,0.0,19831.58,-1089.58,19831.58,19831.58,19831.58,19831.58,2017,41400,,1,,01
1 01.121.99.432.00 2017,4308.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TURISMOA,18629.0,18629.0,0.0,18782.39,-153.39,18782.39,18782.39,18782.39,18782.39,2017,43200,,1,,01
1 01.121.99.920.00 2017,4310.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,195462.0,195462.0,0.0,191194.47,4267.53,191194.47,191194.47,191194.47,191194.47,2017,92000,,1,,01
1 01.121.99.920.10 2017,4311.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.PERTSONA,64441.0,64441.0,0.0,69557.88,-5116.88,69557.88,69557.88,69557.88,69557.88,2017,92010,,1,,01
1 01.121.99.920.11 2017,4312.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LAN SEGU,26949.0,26949.0,0.0,26803.43,145.57,26803.43,26803.43,26803.43,26803.43,2017,92011,,1,,01
1 01.121.99.920.20 2017,4313.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INFORMAT,45518.0,45518.0,0.0,45879.94,-361.94,45879.94,45879.94,45879.94,45879.94,2017,92020,,1,,01
1 01.121.99.920.30 2017,4314.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ARTXIBOA,21049.0,21049.0,0.0,21199.06,-150.06,21199.06,21199.06,21199.06,21199.06,2017,92030,,1,,01
1 01.121.99.929.00 2017,5582.0,SOLDATA IGOERA 2017,0.0,78866.0,0.0,0.0,78866.0,0.0,0.0,0.0,0.0,2017,92900,,1,,01
1 01.121.99.929.10 2017,4315.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BAKE EPA,4986.0,4986.0,0.0,5962.74,-976.74,5962.74,5962.74,5962.74,5962.74,2017,92910,,1,,01
1 01.121.99.931.00 2017,4316.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,159560.0,159560.0,0.0,172418.39,-12858.39,172418.39,172418.39,172418.39,172418.39,2017,93100,,1,,01
1 01.121.99.932.00 2017,4317.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BILKETA,87464.0,87464.0,0.0,93859.03,-6395.03,93859.03,93859.03,93859.03,93859.03,2017,93200,,1,,01
1 01.121.99.933.00 2017,4318.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ONDAREA-,47831.0,47831.0,0.0,83324.1,-35493.1,83324.1,83324.1,83324.1,83324.1,2017,93300,,1,,01
