#Subconcepto eco.,Descripción,Año,Programa,Departamento,Pto inicial,Aumentos,Disminuciones,Pto definitivo,Dchos rec. brutos,Dchos Anulados,Dchos rec. netos
93101,Préstamos recibidos a largo plazo,2015,00000,03,0.0,304389.0,0.0,304389.0,304389.0,0.0,304389.0
11202,De naturaleza urbana,2016,00000,03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93101,Préstamos recibidos a largo plazo,2016,00000,03,0.0,2000000.0,0.0,2000000.0,1195611.0,0.0,1195611.0
41101,Organismos autónomos,2017,00000,02,8000.0,0.0,0.0,8000.0,12603.83,0.0,12603.83
82301,Anticipos del personal,2017,00000,02,50000.0,0.0,0.0,50000.0,19420.0,0.0,19420.0
11201,De naturaleza rústica,2017,00000,03,9000.0,0.0,0.0,9000.0,9158.6,74.27,9084.33
11202,De naturaleza urbana,2017,00000,03,6600000.0,0.0,0.0,6600000.0,6729472.9,399045.41,6330427.49
11301,Impuesto sobre vehículos de tracción mecánica,2017,00000,03,2210000.0,0.0,0.0,2210000.0,2243102.92,19446.24,2223656.68
11401,Impuesto s/incremento del valor de los terrenos de naturaleza urbana,2017,00000,03,700000.0,0.0,0.0,700000.0,765282.55,49770.76,715511.79
13001,Actividades empresariales,2017,00000,03,650000.0,0.0,0.0,650000.0,634790.4,20257.94,614532.46
38001,De presupuestos cerrados,2017,00000,03,50000.0,0.0,0.0,50000.0,250203.99,0.0,250203.99
39201,Recargo de apremio,2017,00000,03,185000.0,0.0,0.0,185000.0,146399.57,5.95,146393.62
39601,Compensaciones,2017,00000,03,100000.0,0.0,0.0,100000.0,133402.8,47598.19,85804.61
39901,Otros ingresos diversos,2017,00000,03,90000.0,2316.0,0.0,92316.0,374985.73,20.0,374965.73
40001,Participación en impuestos no concertados,2017,00000,03,24000.0,0.0,0.0,24000.0,47674.38,0.0,47674.38
42001,Participación en tributos concertados,2017,00000,03,24908000.0,0.0,0.0,24908000.0,25102890.64,0.0,25102890.64
53201,De otras empresas,2017,00000,03,0.0,0.0,0.0,0.0,30188.92,0.0,30188.92
54001,Producto del arrendamiento de fincas urbanas,2017,00000,03,80000.0,0.0,0.0,80000.0,87079.86,1034.3,86045.56
56001,Intereses de depósitos,2017,00000,03,10000.0,0.0,0.0,10000.0,6270.8,0.0,6270.8
85301,De fuera del sector público local,2017,00000,03,0.0,0.0,0.0,0.0,335980.06,0.0,335980.06
87001,Reman.tesor. gral incorporacio,2017,00000,03,0.0,3499625.61,0.0,3499625.61,0.0,0.0,0.0
87002,Reman. tesoreria finan. afecta,2017,00000,03,0.0,245388.23,0.0,245388.23,0.0,0.0,0.0
87003,Reman. tesor. gral. adicionale,2017,00000,03,0.0,3878037.29,0.0,3878037.29,0.0,0.0,0.0
93101,Préstamos recibidos a largo plazo,2017,00000,03,2100000.0,0.0,0.0,2100000.0,600000.0,0.0,600000.0
28201,"Impuesto s/construcciones, instalaciones y obras",2017,00000,04,300000.0,0.0,0.0,300000.0,607116.57,115182.41,491934.16
65101,Aprovechamientos urbanísticos,2017,00000,04,0.0,0.0,0.0,0.0,21609.83,0.0,21609.83
71001,Administración general,2017,00000,04,72000.0,0.0,0.0,72000.0,76449.98,19280.46,57169.52
71002,De la administracion general,2017,00000,04,142499.86,94299.98,0.0,236799.84,105300.85,0.0,105300.85
71003,De la comunidad autónoma del pais vasco,2017,00000,04,7300.0,0.0,0.0,7300.0,0.0,0.0,0.0
71004,De la comunidad autónoma del pais vasco,2017,00000,04,8000.0,0.0,0.0,8000.0,0.0,0.0,0.0
71005,De la comunidad autonoma del pais vasco,2017,00000,04,25000.0,0.0,0.0,25000.0,33078.0,7000.0,26078.0
71006,De la comunidad autonoma del pais vasco,2017,00000,04,0.0,0.0,0.0,0.0,26820.0,26820.0,0.0
71007,De la comunidad autonoma del pais vasco,2017,00000,04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72002,Del territorio histórico,2017,00000,04,976000.0,0.0,0.0,976000.0,858000.0,0.0,858000.0
30001,Ventas,2017,00000,05,10000.0,0.0,0.0,10000.0,12436.39,0.0,12436.39
55101,Aprovechamientos agrícolas y forestales,2017,00000,05,60000.0,0.0,0.0,60000.0,0.0,0.0,0.0
71002,De la administracion general,2017,00000,05,11000.0,0.0,0.0,11000.0,15000.0,2000.0,13000.0
71003,De la comunidad autónoma del pais vasco,2017,00000,05,15000.0,0.0,0.0,15000.0,0.0,0.0,0.0
71004,De la comunidad autónoma del pais vasco,2017,00000,05,0.0,0.0,0.0,0.0,22402.8,11201.4,11201.4
71101,Organismos autónomos,2017,00000,05,49000.0,0.0,0.0,49000.0,88851.0,45835.0,43016.0
72002,Del territorio histórico,2017,00000,05,15000.0,0.0,0.0,15000.0,53199.34,0.0,53199.34
72003,Del territorio histórico,2017,00000,05,0.0,0.0,0.0,0.0,5248.15,0.0,5248.15
72004,Del territorio histórico,2017,00000,05,0.0,0.0,0.0,0.0,24061.5,682.67,23378.83
31198,Retirada animales via publica,2017,00000,12,3000.0,0.0,0.0,3000.0,509.4,0.0,509.4
39101,Multas,2017,00000,12,290000.0,0.0,0.0,290000.0,326061.76,12668.68,313393.08
39102,Multas,2017,00000,12,10000.0,0.0,0.0,10000.0,20989.91,0.0,20989.91
41201,Entes públicos,2017,00000,12,18000.0,0.0,0.0,18000.0,3817.0,0.0,3817.0
77101,Otras empresas,2017,00000,12,0.0,0.0,0.0,0.0,25000.0,0.0,25000.0
38001,De presupuestos cerrados,2017,00000,17,5000.0,0.0,0.0,5000.0,6625.81,0.0,6625.81
60001,Solares,2017,00000,17,1218573.0,0.0,0.0,1218573.0,437727.94,0.0,437727.94
61202,Enajenacion de edificios y otras construcciones,2017,00000,17,641214.0,0.0,0.0,641214.0,530000.0,0.0,530000.0
32201,Entrada de vehíc. por aceras y reservas de la vía públ. para aparcam.,2017,13200,12,230000.0,0.0,0.0,230000.0,209621.33,604.62,209016.71
32006,Servicios generales,2017,13310,12,650000.0,0.0,0.0,650000.0,575953.66,33347.9,542605.76
31005,Recogida y retirada de vehículos de la vía pública,2017,13320,12,95000.0,0.0,0.0,95000.0,83924.53,2884.6,81039.93
31101,Licencia de apertura de establecimientos,2017,15000,04,12000.0,0.0,0.0,12000.0,38110.69,5929.0,32181.69
31201,Otorgamiento de licencias urbanísticas,2017,15000,04,100000.0,0.0,0.0,100000.0,96647.9,2805.35,93842.55
31005,Recogida y retirada de vehículos de la vía pública,2017,15100,04,6000.0,0.0,0.0,6000.0,3199.98,0.0,3199.98
31002,Serv.alcantarillado y % canon financ. infraest. hidraúlic.,2017,16000,09,900000.0,0.0,0.0,900000.0,978086.49,9624.56,968461.93
31009,Suministro municipal de agua y % canon financ. infraest. hidráulic.,2017,16100,09,2048000.0,0.0,0.0,2048000.0,1975653.32,23059.36,1952593.96
31001,Recogida domiciliaria de basuras o residuos sólidos urbanos,2017,16220,09,2170000.0,0.0,0.0,2170000.0,2281512.32,6626.23,2274886.09
41001,Administración general,2017,17000,05,0.0,0.0,0.0,0.0,2890.7,0.0,2890.7
42001,Participación en tributos concertados,2017,17000,05,0.0,0.0,0.0,0.0,22500.0,3000.0,19500.0
41001,Administración general,2017,23000,07,45802.0,0.0,0.0,45802.0,0.0,0.0,0.0
42001,Participación en tributos concertados,2017,23000,07,190712.0,0.0,0.0,190712.0,195218.77,0.0,195218.77
31015,Ayuda a domicilio y otros servicios sociales,2017,23100,07,600.0,0.0,0.0,600.0,600.0,0.0,600.0
31012,Asistencias y estancias en hogares y residencias,2017,23110,07,48000.0,0.0,0.0,48000.0,37919.91,23.87,37896.04
42005,Del territorio histórico,2017,23110,07,795000.0,0.0,0.0,795000.0,732963.87,0.0,732963.87
41001,Administración general,2017,23130,07,536900.0,0.0,0.0,536900.0,642828.7,0.0,642828.7
41201,Entes públicos,2017,23150,13,4000.0,0.0,0.0,4000.0,0.0,0.0,0.0
42101,Mancomunidades y consorcios,2017,23150,13,12000.0,0.0,0.0,12000.0,13650.0,830.0,12820.0
42001,Participación en tributos concertados,2017,23190,11,230000.0,0.0,0.0,230000.0,256698.04,0.0,256698.04
41201,Entes públicos,2017,24100,02,387000.0,0.0,0.0,387000.0,87096.29,0.0,87096.29
31014,Guarderías,2017,32000,06,32000.0,0.0,0.0,32000.0,30210.94,96.0,30114.94
42003,,2017,32700,01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42002,Del territorio histórico,2017,32701,01,2000.0,0.0,0.0,2000.0,933.02,0.0,933.02
42099,Otras transferencias,2017,32701,14,5200.0,0.0,0.0,5200.0,9241.04,0.0,9241.04
41001,Administración general,2017,32702,01,3000.0,0.0,0.0,3000.0,1279.16,0.0,1279.16
42001,Participación en tributos concertados,2017,32702,01,10000.0,0.0,0.0,10000.0,6195.2,0.0,6195.2
41001,Administración general,2017,33210,18,0.0,0.0,0.0,0.0,3555.0,0.0,3555.0
71001,Administración general,2017,33210,18,27900.0,0.0,0.0,27900.0,38476.0,2158.57,36317.43
31113,Sobre actividades económicas,2017,33220,18,3800.0,0.0,0.0,3800.0,3047.11,0.0,3047.11
71002,De la administracion general,2017,33220,18,4000.0,3000.0,0.0,7000.0,7409.08,4500.0,2909.08
72001,Plan foral de obras y servicios,2017,33220,18,0.0,0.0,0.0,0.0,3230.42,0.0,3230.42
42002,Del territorio histórico,2017,33310,08,15000.0,0.0,0.0,15000.0,15000.0,0.0,15000.0
31011,Enseñanzas especiales,2017,33400,08,25000.0,0.0,0.0,25000.0,52208.39,243.22,51965.17
