#Partida,,,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 01.100.01.912.00 2019,4245.0,Cargos Públicos,211909.0,211909.0,0.0,137863.01,74045.99,137863.01,137863.01,137863.01,137863.01
1 01.110.01.132.00 2019,5608.0,Personal Eventual,48300.0,48300.0,0.0,43508.58,4791.42,43508.58,43508.58,43508.58,43508.58
1 01.110.01.912.00 2019,4246.0,Personal Eventual,30373.0,30373.0,0.0,24903.31,5469.69,24903.31,24903.31,24903.31,24903.31
1 01.120.01.132.00 2019,4247.0,Retribucion básica.,339585.0,339585.0,0.0,285967.67,53617.33,285967.67,285967.67,285967.67,285967.67
1 01.120.01.151.00 2019,4248.0,Retribucion básica.,145122.0,145122.0,0.0,104721.9,40400.1,104721.9,104721.9,104721.9,104721.9
1 01.120.01.153.40 2019,4249.0,Retribucion básica.,198414.0,198414.0,0.0,118116.83,80297.17,118116.83,118116.83,118116.83,118116.83
1 01.120.01.161.00 2019,4251.0,Retribucion básica.,42912.0,42912.0,0.0,43873.29,-961.29,43873.29,43873.29,43873.29,43873.29
1 01.120.01.164.00 2019,4252.0,Retribucion básica.,8897.0,8897.0,0.0,6648.31,2248.69,6648.31,6648.31,6648.31,6648.31
1 01.120.01.165.00 2019,4253.0,Retribucion básica.,13376.0,13376.0,0.0,12572.18,803.82,12572.18,12572.18,12572.18,12572.18
1 01.120.01.172.20 2019,4254.0,Retribucion básica.,20394.0,20394.0,0.0,17086.62,3307.38,17086.62,17086.62,17086.62,17086.62
1 01.120.01.231.00 2019,4257.0,Retribucion básica.,43823.0,43823.0,0.0,38264.88,5558.12,38264.88,38264.88,38264.88,38264.88
1 01.120.01.231.01 2019,4256.0,Retribucion básica.,925.0,925.0,0.0,2071.04,-1146.04,2071.04,2071.04,2071.04,2071.04
1 01.120.01.231.03 2019,4867.0,Retribucion básica.,24406.0,24406.0,0.0,15471.37,8934.63,15471.37,15471.37,15471.37,15471.37
1 01.120.01.241.00 2019,4258.0,Retribucion básica.,40130.0,40130.0,0.0,36951.74,3178.26,36951.74,36951.74,36951.74,36951.74
1 01.120.01.323.10 2019,4259.0,Retribucion básica.,39735.0,39735.0,0.0,30895.26,8839.74,30895.26,30895.26,30895.26,30895.26
1 01.120.01.326.01 2019,4261.0,Retribucion básica.,242596.0,242596.0,0.0,183602.63,58993.37,183602.63,183602.63,183602.63,183602.63
1 01.120.01.330.00 2019,4262.0,Retribucion básica.,30267.0,30267.0,0.0,26520.81,3746.19,26520.81,26520.81,26520.81,26520.81
1 01.120.01.332.10 2019,4263.0,Retribucion básica.,83776.0,83776.0,0.0,69483.31,14292.69,69483.31,69483.31,69483.31,69483.31
1 01.120.01.333.00 2019,4264.0,Retribucion básica.,21093.0,21093.0,0.0,18540.66,2552.34,18540.66,18540.66,18540.66,18540.66
1 01.120.01.335.00 2019,4265.0,Retribucion básica.,72733.0,72733.0,0.0,59050.16,13682.84,59050.16,59050.16,59050.16,59050.16
1 01.120.01.335.10 2019,4266.0,Retribucion básica.,148290.0,148290.0,0.0,124447.54,23842.46,124447.54,124447.54,124447.54,124447.54
1 01.120.01.335.30 2019,4267.0,Retribucion básica.,19554.0,19554.0,0.0,15724.21,3829.79,15724.21,15724.21,15724.21,15724.21
1 01.120.01.335.40 2019,5609.0,Retribucion básica.,45511.0,45511.0,0.0,53486.89,-7975.89,53486.89,53486.89,53486.89,53486.89
1 01.120.01.342.00 2019,4269.0,Retribucion básica.,200137.0,200137.0,0.0,118416.86,81720.14,118416.86,118416.86,118416.86,118416.86
1 01.120.01.342.01 2019,4270.0,Retribucion básica.,4538.0,4538.0,0.0,2488.31,2049.69,2488.31,2488.31,2488.31,2488.31
1 01.120.01.414.00 2019,4271.0,Retribucion básica.,8708.0,8708.0,0.0,7982.24,725.76,7982.24,7982.24,7982.24,7982.24
1 01.120.01.432.00 2019,4272.0,Retribucion básica.,18852.0,18852.0,0.0,15159.39,3692.61,15159.39,15159.39,15159.39,15159.39
1 01.120.01.920.00 2019,4273.0,Retribucion básica.,176323.0,176323.0,0.0,111943.65,64379.35,111943.65,111943.65,111943.65,111943.65
1 01.120.01.920.10 2019,4274.0,Retribucion básica.,49794.0,49794.0,0.0,40518.39,9275.61,40518.39,40518.39,40518.39,40518.39
