Partida,Código ,Descripción,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago
1 01.100.01.912.00 2020,4245.0,Cargos Públicos,251530.0,251530.0,0.0,268441.85,-16911.85,268441.85,268441.85,268441.85,268441.85
1 01.110.01.132.00 2020,5608.0,Personal Eventual,49388.0,49388.0,0.0,53859.38,-4471.38,53859.38,53859.38,53859.38,53859.38
1 01.110.01.912.00 2020,4246.0,Personal Eventual,65632.0,65632.0,0.0,67827.71,-2195.71,67827.71,67827.71,67827.71,67827.71
1 01.120.01.132.00 2020,4247.0,Retribucion básica.,396427.0,396427.0,0.0,343051.17,53375.83,343051.17,343051.17,343051.17,343051.17
1 01.120.01.151.00 2020,4248.0,Retribucion básica.,148483.0,148483.0,0.0,124720.34,23762.66,124720.34,124720.34,124720.34,124720.34
1 01.120.01.153.40 2020,4249.0,Retribucion básica.,198206.0,198206.0,0.0,165416.89,32789.11,165416.89,165416.89,165416.89,165416.89
1 01.120.01.161.00 2020,4251.0,Retribucion básica.,41960.0,41960.0,0.0,45294.94,-3334.94,45294.94,45294.94,45294.94,45294.94
1 01.120.01.164.00 2020,4252.0,Retribucion básica.,9594.0,9594.0,0.0,1810.09,7783.91,1810.09,1810.09,1810.09,1810.09
1 01.120.01.165.00 2020,4253.0,Retribucion básica.,14242.0,14242.0,0.0,16091.43,-1849.43,16091.43,16091.43,16091.43,16091.43
1 01.120.01.172.20 2020,4254.0,Retribucion básica.,21780.0,21780.0,0.0,21695.03,84.97,21695.03,21695.03,21695.03,21695.03
1 01.120.01.231.00 2020,4257.0,Retribucion básica.,49239.0,49239.0,0.0,46627.47,2611.53,46627.47,46627.47,46627.47,46627.47
1 01.120.01.231.01 2020,4256.0,Retribucion básica.,861.0,861.0,0.0,0.0,861.0,0.0,0.0,0.0,0.0
1 01.120.01.231.03 2020,4867.0,Retribucion básica.,25009.0,25009.0,0.0,23624.94,1384.06,23624.94,23624.94,23624.94,23624.94
1 01.120.01.241.00 2020,4258.0,Retribucion básica.,50772.0,50772.0,0.0,46934.84,3837.16,46934.84,46934.84,46934.84,46934.84
1 01.120.01.323.10 2020,4259.0,Retribucion básica.,30659.0,30659.0,0.0,28966.29,1692.71,28966.29,28966.29,28966.29,28966.29
1 01.120.01.326.01 2020,4261.0,Retribucion básica.,241898.0,241898.0,0.0,238219.02,3678.98,238219.02,238219.02,238219.02,238219.02
1 01.120.01.330.00 2020,4262.0,Retribucion básica.,32397.0,32397.0,0.0,30361.59,2035.41,30361.59,30361.59,30361.59,30361.59
1 01.120.01.332.10 2020,4263.0,Retribucion básica.,92300.0,92300.0,0.0,89966.3,2333.7,89966.3,89966.3,89966.3,89966.3
1 01.120.01.333.00 2020,4264.0,Retribucion básica.,22840.0,22840.0,0.0,25370.34,-2530.34,25370.34,25370.34,25370.34,25370.34
1 01.120.01.335.00 2020,4265.0,Retribucion básica.,75273.0,75273.0,0.0,72870.65,2402.35,72870.65,72870.65,72870.65,72870.65
1 01.120.01.335.10 2020,4266.0,Retribucion básica.,161806.0,161806.0,0.0,158389.68,3416.32,158389.68,158389.68,158389.68,158389.68
1 01.120.01.335.30 2020,4267.0,Retribucion básica.,20044.0,20044.0,0.0,20403.46,-359.46,20403.46,20403.46,20403.46,20403.46
1 01.120.01.337.00 2020,5609.0,Retribucion básica.,22673.0,22673.0,0.0,32121.75,-9448.75,32121.75,32121.75,32121.75,32121.75
1 01.120.01.342.00 2020,4269.0,Retribucion básica.,180998.0,180998.0,0.0,178444.34,2553.66,178444.34,178444.34,178444.34,178444.34
1 01.120.01.342.01 2020,4270.0,Retribucion básica.,5053.0,5053.0,0.0,3517.89,1535.11,3517.89,3517.89,3517.89,3517.89
1 01.120.01.414.00 2020,4271.0,Retribucion básica.,12115.0,12115.0,0.0,12338.31,-223.31,12338.31,12338.31,12338.31,12338.31
1 01.120.01.432.00 2020,4272.0,Retribucion básica.,19324.0,19324.0,0.0,19496.2,-172.2,19496.2,19496.2,19496.2,19496.2
1 01.120.01.920.00 2020,4273.0,Retribucion básica.,169709.0,169709.0,0.0,160394.5,9314.5,160394.5,160394.5,160394.5,160394.5
1 01.120.01.920.10 2020,4274.0,Retribucion básica.,52569.0,52569.0,0.0,52726.18,-157.18,52726.18,52726.18,52726.18,52726.18
1 01.120.01.920.11 2020,4275.0,Retribucion básica.,20764.0,20764.0,0.0,21610.21,-846.21,21610.21,21610.21,21610.21,21610.21
