Partida,Código interno,Descripción,Año,Ppto. Inicial (duplicado de Definitivo),Ppto. Definitivo,Derechos reconocidos Netos,Recaudación Líquida,Pendiente de Cobro,Devoluciones
2 112.01.000.00 2020,1.0,Ibi-rustica,,25133.0,25133.0,25795.58,24770.35,1025.23,0.0
2 112.02.000.00 2020,2.0,Ibi-Urbana,,3880953.0,3880953.0,3908825.72,3815421.21,93404.51,23656.32
2 113.01.000.00 2020,3.0,Vehiculos,,1562514.0,1562514.0,1560502.24,1445884.88,114617.36,8106.84
2 114.01.000.00 2020,4.0,Plusvalias,,250000.0,250000.0,287058.06,171686.58,115371.48,1130.78
2 130.01.000.00 2020,5.0,Impo. Actividades Economicas,,1015458.0,1015458.0,1178519.28,1041743.33,136775.95,985.33
2 282.01.000.00 2020,7.0,Impto Construcciones,,519000.0,519000.0,3100416.04,2992553.34,107862.7,18422.2
2 310.01.162.10 2020,917.0,Recogida Tratamiento Residuos,,1473687.0,1473687.0,1491630.84,1342466.21,149164.63,6894.55
2 310.02.160.00 2020,918.0,Saneamiento,,635433.0,635433.0,656998.53,627569.1,29429.43,12062.87
2 310.03.164.00 2020,919.0,Cementerio,,30715.0,30715.0,60455.3,57539.3,2916.0,0.0
2 310.04.000.00 2020,349.0,Documentos,,1000.0,1000.0,1208.6,1132.6,76.0,85.1
2 310.05.000.00 2020,203.0,Paso Vehiculos,,1000.0,1000.0,140.2,140.2,0.0,0.0
2 310.08.136.00 2020,920.0,Incendios,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.09.161.00 2020,921.0,Suministro agua,,1398167.0,1398167.0,1425173.42,1366525.92,58647.5,20059.59
2 310.11.335.10 2020,922.0,Euskaltegia,,58006.0,58006.0,23580.0,23580.0,0.0,20791.69
2 310.16.334.10 2020,923.0,Talleres Biteri,,70345.0,70345.0,28583.05,28583.05,0.0,6823.04
2 310.20.326.01 2020,924.0,Musika Eskola,,130000.0,130000.0,85562.46,85562.46,0.0,51900.28
2 310.21.326.02 2020,925.0,Kantuz,,7000.0,7000.0,4350.78,4350.78,0.0,3296.24
2 310.22.335.40 2020,926.0,Udalekuak,,38000.0,38000.0,4399.8,4399.8,0.0,0.0
2 310.23.000.00 2020,260.0,Animales peligrosos,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.24.342.00 2020,927.0,Kiroldegia-Abonados,,583164.0,583164.0,356141.05,356141.05,0.0,1787.54
2 310.25.342.00 2020,928.0,Kiroldegia-entradas,,10000.0,10000.0,2869.24,2869.24,0.0,0.0
2 310.26.342.00 2020,929.0,Cursos natacion,,186236.0,186236.0,62063.34,62063.34,0.0,9843.71
