Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr,Onar esk garbiak
2 310.16 2014 (868),868,BITERIKO TAILERRAK,2014,0.0,-66.98
2 870.02 2014 (866),866,DIRUZAINTZA GERAKINA,2014,0.0,0.0
2 112.01 2015 (1),1,O.H.G.Z.LANDA-ONDASUNAK,2015,22210.0,21928.13
2 112.02 2015 (2),2,O.H.F.Z.HIRI-ONDASUNAK,2015,3780815.0,3859531.46
2 113.01 2015 (3),3,TRAKZIO MEKANIKODUN IBILGAILUEN,2015,1450800.0,1451345.54
2 114.01 2015 (4),4,HIRI-LURREN BALIO GEHIKUNTZAREN ZERGA,2015,150000.0,451388.79
2 130.01 2015 (5),5,IHARDUERA EKONOMIKOEN GAINEKO ZERGA,2015,782000.0,911345.85
2 282.01 2015 (7),7,"ERAIK.,INSTALAZ.ZERGA",2015,271311.0,532431.09
2 310.01 2015 (8),8,ONDAKINAK BILKETA ETA TRATAMENDUA,2015,865755.0,850315.25
2 310.02 2015 (9),9,SANEAMENDU,2015,562887.0,592776.74
2 310.03 2015 (10),10,UDAL HILERRIA,2015,27391.0,32588.65
2 310.04 2015 (349),349,AGIRIAK EGITEA,2015,100.0,2342.95
2 310.05 2015 (203),203,IBILGAILUAK BIDE PUBLIKOTIK JASO ETA KEN,2015,100.0,919.6
2 310.08 2015 (13),13,SU-ITZALTZE,2015,100.0,-387.5
2 310.09 2015 (12),12,UR HORNIDURA,2015,1340084.0,1382317.21
2 310.11 2015 (16),16,UDAL EUSKALTEGIA,2015,57000.0,59241.22
2 310.16 2015 (19),19,BITERIKO TAILERRAK,2015,57000.0,57277.27
2 310.20 2015 (17),17,MUSIKA ESKOLA PUBLIKOA,2015,135000.0,137628.38
2 310.21 2015 (18),18,KANTUZ,2015,7000.0,8084.57
2 310.22 2015 (20),20,UDALEKUAK,2015,40000.0,37443.37
2 310.23 2015 (260),260,ANIMALI ARRISKUTSUEN ERREJISTROA,2015,100.0,0.0
2 310.24 2015 (632),632,KIROLDEGIKO ABONATUAK,2015,480000.0,458771.73
2 310.25 2015 (633),633,KIROLDEGIKO SARRERAK,2015,8000.0,6625.46
2 310.26 2015 (634),634,KIROLDEGIKO IGERITA IKASTAROAK,2015,115000.0,146057.59
2 310.27 2015 (635),635,KIROLDEGIKO SQUASH-AREN ERABILPENA,2015,1000.0,368.0
2 310.28 2015 (636),636,KIROLDEGIKO IKASTARO EZBERDINAK,2015,130000.0,161117.99
2 310.29 2015 (637),637,KIROLDEG.PISTA ETA INSTALAZ.ERABILPENA,2015,5000.0,4217.0
2 310.30 2015 (638),638,KIROLDEGIKO FRONTOIAREN ERABILPENA,2015,100.0,850.8
2 310.31 2015 (639),639,KIROLDEGIKO INSTALAZIO ALOKAPENA,2015,100.0,277.7
2 310.32 2015 (640),640,KIROLDEGIKO SAUNAK,2015,5000.0,3921.1
2 310.33 2015 (641),641,MASAJEA,2015,100.0,0.0
2 310.35 2015 (643),643,AISIALDI ETA JOLASER.IGERILEK.ABONATUAK,2015,100000.0,104494.08
2 310.36 2015 (644),644,AISIALDI ETA JOLASER.IGERILEK.SARRERAK,2015,95000.0,113572.57
2 310.37 2015 (645),645,KIROLDEGIKO KARNETA BERRIAK,2015,100.0,214.4
2 311.01 2015 (23),23,ESTABLEZIMENDUAK IREKITZEKO BAIMENA,2015,30000.0,23217.12
2 311.02 2015 (24),24,AUTOTAXIEN LIZENTZIA,2015,100.0,8000.0
2 312.01 2015 (25),25,HIRIGINTZ BAIMENAK EMATEA,2015,50000.0,55698.03
2 312.02 2015 (26),26,ESPEDIENTE URBANISTIKOEN BIDERATZEA,2015,100.0,37498.08
2 312.03 2015 (489),489,KARTOGRAFIA EGUNERATZEA,2015,1000.0,7348.6
2 321.03 2015 (28),28,"HESIAK, ALDAMIOAK, EDUKIONTZIAK",2015,9900.0,5091.41
2 321.04 2015 (29),29,MAHAI ETA ESERLEKUAK,2015,36000.0,24331.9
2 321.05 2015 (30),30,"SALMENTA POSTUAK, BARRAKA, ETAB.",2015,6000.0,4147.91
2 321.09 2015 (31),31,"LURZORUA,.HORNID-ZERB.ENPRESEN ALDE",2015,753320.0,746751.0
2 321.10 2015 (11),11,FERIA,2015,50000.0,55546.69
2 321.11 2015 (540),540,SARRERA KONTROLATZEKO TXARTELAK,2015,100.0,480.0
2 321.13 2015 (834),834,KUTXAZAIN AUTOMATIKOAK,2015,2400.0,2440.0
2 321.99 2015 (32),32,BESTE TASAK.JARDUERARENTZAT,2015,1000.0,0.0
2 322.01 2015 (33),33,IBILGAILUEN SARRERA ESPALOI GAINETIK,2015,28740.0,29550.28
2 340.01 2015 (34),34,"MATERIALE, MAKINERIA, TAULATUA ALOKATZEA",2015,100.0,0.0
2 340.02 2015 (35),35,IKUSKIZUNETARAKO SARRERAK,2015,8000.0,12499.3
2 340.03 2015 (102),102,HAUR ESKOLAKO JANGELA,2015,50000.0,39538.05
2 340.04 2015 (483),483,BERDINTASUNEKO IKASTAROAK,2015,1500.0,1423.0
2 380.01 2015 (36),36,ITZULERAK:ITXITAKO AURREKONTUETAKOAK,2015,6000.0,12458.89
2 381.01 2015 (596),596,ITZULERAK:PIBOTEETAKO KALTEAK,2015,5000.0,8215.53
2 382.01 2015 (597),597,ITZULERAK:BIDE PUBLIKOKO KALTEAK,2015,100.0,20306.1
2 391.01 2015 (37),37,TRAFIKOZKO ISUNAK,2015,90000.0,92618.8
2 391.02 2015 (38),38,HIRIGINTZAKO ISUNAK,2015,100.0,13758.06
2 391.03 2015 (350),350,INGURUMENEKO ISUNAK,2015,100.0,16185.55
2 392.01 2015 (39),39,PREMIAMENDU-ERREKARGUA,2015,45000.0,59048.54
2 393.01 2015 (40),40,BERANDUTZA-INTERESAK,2015,7000.0,12117.0
2 396.01 2015 (41),41,KONPENTSAZIOA:CIA TELEFONICA,2015,40000.0,47830.45
2 396.02 2015 (120),120,KONPENTSAZIOA:EUSKALTEL,2015,22000.0,24592.69
2 399.01 2015 (42),42,BESTE HAINBAT SARRERA,2015,1000.0,50111.79
2 399.02 2015 (43),43,FOTOKOPIAK,2015,100.0,456.34
2 399.03 2015 (59),59,PARTIKULARREN IRAGARKIAK,2015,100.0,3797.65
2 399.04 2015 (833),833,KALTEORDAINAK,2015,0.0,235651.59
2 399.05 2015 (103),103,HAUR ESKOLAKO JANGELA(IRAKASLEAK),2015,3000.0,3353.3
2 399.06 2015 (45),45,ARTXIBOKO ARGITALPENAK,2015,400.0,323.96
2 399.07 2015 (46),46,PARTIKULARREN KONTURAKO OBRAK,2015,100.0,0.0
2 399.12 2015 (667),667,BIRZIKLATZEAREN ONDORIOZKO SARRERAK,2015,287000.0,380244.61
2 400.01 2015 (47),47,ITUNDU GABEKO ZERGAK,2015,20500.0,19855.77
2 410.01 2015 (48),48,E.J.ren DIRUL:BAKE EPAITEGIA,2015,3600.0,3625.0
2 410.02 2015 (49),49,E.J.ren DIRUL:MUSIKA ESKOLA,2015,125000.0,117077.51
2 410.03 2015 (50),50,E.J.ren DIRUL:LIBURUTEGIA,2015,10860.0,3769.0
2 410.04 2015 (53),53,E.J.ren DIRUL:D.B.H.ko IKASTETXEAK,2015,1000.0,30699.97
2 410.09 2015 (724),724,E.J.: IVAPEN DIRULAG: FORMAKUNTZA,2015,0.0,6808.75
2 410.41 2015 (830),830,E.J.ren DIRUL: AGENDA 21 ESKOLARRA,2015,0.0,2695.32
2 410.48 2015 (698),698,E.J.ren DIRUL:E.B.P.N.,2015,7000.0,0.0
2 410.49 2015 (699),699,E.J.-HASIERAKO LANBIDE PRESTAKUNTZA,2015,146130.0,145474.69
2 410.54 2015 (847),847,E.J.ren DIRUL:KIROLAK.,2015,0.0,4345.71
2 410.55 2015 (848),848,E.J.ren DIRUL: BIZIKIDETZA PROGRAMAK.,2015,0.0,4680.1
2 410.56 2015 (886),886,E.J.ren DIRUL: INGURUGIROA.,2015,0.0,93991.07
