#Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.100.01.912.00 2016,4245.0,SOLDATAK.GOBERNU ORGANOAK,128516.0,128516.0,0.0,144370.68,-15854.68,144370.68,144370.68,144370.68,144370.68,2016,91200,,1,,01
1 01.110.01.912.00 2016,4246.0,ALDIBATERAKOAK.SOLDATAK.GOBERNU ORGANOAK,98452.0,98452.0,0.0,87971.52,10480.48,87971.52,87971.52,87971.52,87971.52,2016,91200,,1,,01
1 01.120.01.132.00 2016,4247.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UDALTZAI,370247.0,370247.0,0.0,303430.68,66816.32,303430.68,303430.68,303430.68,303430.68,2016,13200,,1,,01
1 01.120.01.150.00 2016,4248.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HIRIGINT,103242.0,103242.0,0.0,67074.83,36167.17,67074.83,67074.83,67074.83,67074.83,2016,15000,,1,,01
1 01.120.01.153.40 2016,4249.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.OBRETAKO,161149.0,161149.0,0.0,107429.15,53719.85,107429.15,107429.15,107429.15,107429.15,2016,15340,,1,,01
1 01.120.01.153.50 2016,4250.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.ZERBITZU,29050.0,29050.0,0.0,32126.18,-3076.18,32126.18,32126.18,32126.18,32126.18,2016,15350,,1,,01
1 01.120.01.161.00 2016,4251.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UR HORNI,31475.0,31475.0,0.0,25909.0,5566.0,25909.0,25909.0,25909.0,25909.0,2016,16100,,1,,01
1 01.120.01.164.00 2016,4252.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HILERRIA,8206.0,8206.0,0.0,11303.26,-3097.26,11303.26,11303.26,11303.26,11303.26,2016,16400,,1,,01
1 01.120.01.165.00 2016,4253.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.KALEKO A,37604.0,37604.0,0.0,46302.42,-8698.42,46302.42,46302.42,46302.42,46302.42,2016,16500,,1,,01
1 01.120.01.170.00 2016,4254.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.INGURUGI,37506.0,37506.0,0.0,38101.39,-595.39,38101.39,38101.39,38101.39,38101.39,2016,17000,,1,,01
1 01.120.01.171.00 2016,4255.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.PARKEAK,15299.0,15299.0,0.0,12832.28,2466.72,12832.28,12832.28,12832.28,12832.28,2016,17100,,1,,01
1 01.120.01.230.02 2016,4256.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.LANKIDET,2143.0,2143.0,0.0,687.87,1455.13,687.87,687.87,687.87,687.87,2016,23002,,1,,01
1 01.120.01.231.00 2016,4257.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.BERDINTA,41338.0,41338.0,0.0,44095.73,-2757.73,44095.73,44095.73,44095.73,44095.73,2016,23100,,1,,01
1 01.120.01.231.03 2016,4867.0,FUNTZIONARIOA.SOLDATA.OINARRIA. GAZTERIA,14243.0,14243.0,0.0,14935.5,-692.5,14935.5,14935.5,14935.5,14935.5,2016,23103,,1,,01
1 01.120.01.241.00 2016,4258.0,FUNTZIONARIOA.SOLDATA.OINARRIA. TOKI GAR,50482.0,50482.0,0.0,51113.51,-631.51,51113.51,51113.51,51113.51,51113.51,2016,24100,,1,,01
1 01.120.01.323.00 2016,4259.0,FUNTZIONARIOA.SOLDATA.OINARRIA.IKASTETXE,43024.0,43024.0,0.0,39730.44,3293.56,39730.44,39730.44,39730.44,39730.44,2016,32300,,1,,01
1 01.120.01.326.01 2016,4261.0,FUNTZIONARIOA.SOLDATA.OINARRIA.MUSIKA ES,220277.0,220277.0,0.0,220966.96,-689.96,220966.96,220966.96,220966.96,220966.96,2016,32601,,1,,01
1 01.120.01.330.00 2016,4262.0,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTURA Z,28085.0,28085.0,0.0,29466.76,-1381.76,29466.76,29466.76,29466.76,29466.76,2016,33000,,1,,01
1 01.120.01.332.10 2016,4263.0,FUNTZIONARIOA.SOLDATA.OINARRIA.LIBURUTEG,82997.0,82997.0,0.0,82780.87,216.13,82780.87,82780.87,82780.87,82780.87,2016,33210,,1,,01
1 01.120.01.333.00 2016,4264.0,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTUR ET,22726.0,22726.0,0.0,22375.45,350.55,22375.45,22375.45,22375.45,22375.45,2016,33300,,1,,01
1 01.120.01.335.00 2016,4265.0,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA Z,53138.0,53138.0,0.0,61751.33,-8613.33,61751.33,61751.33,61751.33,61751.33,2016,33500,,1,,01
1 01.120.01.335.10 2016,4266.0,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKALTEG,135346.0,135346.0,0.0,140043.24,-4697.24,140043.24,140043.24,140043.24,140043.24,2016,33510,,1,,01
1 01.120.01.335.30 2016,4267.0,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA P,38056.0,38056.0,0.0,29995.04,8060.96,29995.04,29995.04,29995.04,29995.04,2016,33530,,1,,01
1 01.120.01.335.40 2016,4268.0,FUNTZIONARIOAK.ORDAINKETA.OINARRIZKOA.UD,0.0,0.0,0.0,54394.38,-54394.38,54394.38,54394.38,54394.38,54394.38,2016,33540,,1,,01
1 01.120.01.342.00 2016,4269.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.KIROLDEG,168110.0,168110.0,0.0,173969.77,-5859.77,173969.77,173969.77,173969.77,173969.77,2016,34200,,1,,01
1 01.120.01.342.01 2016,4270.0,FUNTZIONARIOA.SOLDATA.OINARRIA.IGERILEKU,7755.0,7755.0,0.0,3976.77,3778.23,3976.77,3976.77,3976.77,3976.77,2016,34201,,1,,01
1 01.120.01.414.00 2016,4271.0,FUNTZIONARIOA.SOLDATA.OINARRIA.INGURUNEA,10492.0,10492.0,0.0,10600.9,-108.9,10600.9,10600.9,10600.9,10600.9,2016,41400,,1,,01
1 01.120.01.432.00 2016,4272.0,FUNTZIONARIOA.SOLDATA.OINARRIA.TURISMOA,17661.0,17661.0,0.0,17669.81,-8.81,17669.81,17669.81,17669.81,17669.81,2016,43200,,1,,01
1 01.120.01.912.00 2016,5129.0,FUNTZIONARIOA.SOLDATA.OINARRIA.GOBERNU O,0.0,0.0,0.0,3145.82,-3145.82,3145.82,3145.82,3145.82,3145.82,2016,91200,,1,,01
1 01.120.01.920.00 2016,4273.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINISTR,124903.0,124903.0,0.0,126809.25,-1906.25,126809.25,126809.25,126809.25,126809.25,2016,92000,,1,,01
1 01.120.01.920.10 2016,4274.0,FUNTZIONARIOA.SOLDATA.OINARRIA.PERTSONAL,47214.0,47214.0,0.0,70203.4,-22989.4,70203.4,70203.4,70203.4,70203.4,2016,92010,,1,,01
1 01.120.01.920.11 2016,4275.0,FUNTZIONARIOA.SOLDATA.OINARRIA.SEGURTASU,19028.0,19028.0,0.0,12585.12,6442.88,12585.12,12585.12,12585.12,12585.12,2016,92011,,1,,01
1 01.120.01.920.20 2016,4276.0,FUNTZIONARIOA.SOLDATA.OINARRIA.INFORMATI,29209.0,29209.0,0.0,29130.74,78.26,29130.74,29130.74,29130.74,29130.74,2016,92020,,1,,01
1 01.120.01.920.30 2016,4277.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ARTXIBOA,34158.0,34158.0,0.0,19021.35,15136.65,19021.35,19021.35,19021.35,19021.35,2016,92030,,1,,01
1 01.120.01.929.10 2016,4278.0,FUNTZIONARIOA.SOLDATA.OINARRIA.BAKE EPAI,3763.0,3763.0,0.0,2940.17,822.83,2940.17,2940.17,2940.17,2940.17,2016,92910,,1,,01
1 01.120.01.931.00 2016,4279.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINIST.,119919.0,119919.0,0.0,132103.37,-12184.37,132103.37,132103.37,132103.37,132103.37,2016,93100,,1,,01
1 01.120.01.932.00 2016,4280.0,FUNTZIONARIOA.SOLDATA.OINARRIA.BILKETA,81624.0,81624.0,0.0,67168.37,14455.63,67168.37,67168.37,67168.37,67168.37,2016,93200,,1,,01
1 01.120.01.933.00 2016,4281.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ONDAREA-K,34975.0,34975.0,0.0,32986.0,1989.0,32986.0,32986.0,32986.0,32986.0,2016,93300,,1,,01
1 01.120.02.920.10 2016,4868.0,LANPOSTUEN AZTERKETA.SOLDATAK,300000.0,300000.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,2016,92010,,1,,01
1 01.121.06.920.10 2016,4282.0,LANGILEEN ORDEZKAPENETARAKO POLTSA,141400.0,141400.0,0.0,0.0,141400.0,0.0,0.0,0.0,0.0,2016,92010,,1,,01
1 01.121.99.132.00 2016,4283.0,FUNTZIONARIOAK.SOLDATA.OSAGARRIA.UDALTZA,689541.0,689541.0,0.0,747707.11,-58166.11,747707.11,747707.11,747707.11,747707.11,2016,13200,,1,,01
1 01.121.99.150.00 2016,4284.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HIRIGINT,150437.0,150437.0,0.0,114213.15,36223.85,114213.15,114213.15,114213.15,114213.15,2016,15000,,1,,01
1 01.121.99.153.40 2016,4285.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.OBRETAKO,256651.0,256651.0,0.0,227336.26,29314.74,227336.26,227336.26,227336.26,227336.26,2016,15340,,1,,01
