Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr.,Onart. Oblig.
1 02.601.02.151.10 2008 (5408),5408,SANTA BARBARA HARROBIA-BIRGAITZEA,2008,0.0,0.0
1 02.623.99.334.00 2014 (5504),5504,KULTURETXEA-SEKTORIZAZIOA,2014,0.0,5662.8
1 02.629.01.341.00 2014 (5509),5509,KIROL SAILA-INBERTSIOAK,2014,0.0,0.0
1 02.644.01.920.20 2014 (5510),5510,APLIKAZIO INFORMATIKOAK,2014,0.0,7018.0
1 02.226.97.231.00 2015 (5474),5474,BESTE EKIMENAK.BERDINTASUNA,2015,0.0,15118.95
1 02.227.99.920.00 2015 (5484),5484,HAINB.KONTRATU ADMIN.OROKORRA,2015,0.0,0.0
1 02.601.01.151.10 2015 (5406),5406,ELORRABIKO ZUBIA,2015,0.0,10368.49
1 02.601.02.151.10 2015 (5409),5409,URBANIZAZIO EJEKUZIO DIFERITUAK-2015,2015,0.0,0.0
1 02.601.11.151.10 2015 (5412),5412,ETXEBERRI URBANIZAZIOA-1 FASEA,2015,0.0,0.0
1 02.622.01.342.09 2015 (5502),5502,ATLETISMO PISTA,2015,0.0,0.0
1 02.623.02.342.00 2015 (5503),5503,INBERTSIOAK.KIROLA-PARTEHARTZE PROZESUA,2015,0.0,4818.82
1 02.643.01.151.10 2015 (5416),5416,PROIEKTUAK: HIRIGINTZA,2015,0.0,0.0
1 05.210.01.414.00 2015 (5521),5521,MANT:INGURUNEAREN HOBEKUNTZA,2015,0.0,0.0
1 05.601.01.153.70 2015 (5524),5524,LANDA BIDEAK-NEGUKO PLANA,2015,0.0,60000.0
1 05.609.01.134.00 2015 (5525),5525,IRISGARRITASUN PLANA,2015,0.0,0.0
1 05.609.01.153.30 2015 (5527),5527,URBANIZ-EuriUrak-Atsegindegi,2015,0.0,0.0
1 05.609.02.153.30 2015 (5529),5529,HAUR PARKEA-ATLETISMO PISTA,2015,0.0,11496.28
1 05.622.01.311.01 2015 (5530),5530,KOMUN PUBL-ave maria,2015,0.0,6754.11
1 05.622.01.323.10 2015 (5531),5531,IKASTETX-laubidieta-jangela,2015,0.0,426695.08
1 05.623.02.161.00 2015 (5534),5534,UR HORNIDURA-ORIAMENDI DEPOSITOA,2015,0.0,65249.6
1 05.625.99.162.10 2015 (5536),5536,KONPOST KOMUNITARIOA EGITEKO MATERIALA,2015,0.0,2968.93
1 02.211.01.342.00 2016 (5455),5455,MANTENU OROKORRA.KIROLDEGIA,2016,0.0,1992.2
1 02.212.01.342.00 2016 (5449),5449,GIMNASIOKO MAKINA.KONPONKETA,2016,0.0,4171.72
1 02.221.05.920.10 2016 (5457),5457,LANGILEENTZAKO ARROPAK,2016,0.0,499.28
1 02.221.14.342.00 2016 (5450),5450,KIROL MATERIALA,2016,0.0,931.7
1 02.221.99.231.03 2016 (5451),5451,MATERIALA:GAZTERIA,2016,0.0,0.0
1 02.226.03.912.00 2016 (5452),5452,PUBLIZIT:GOBERN.ORGANOAK,2016,0.0,0.0
1 02.226.04.920.00 2016 (5464),5464,GASTU JURIDIKOAK:ADMIN.OROKORRA,2016,0.0,0.0
1 02.226.06.231.03 2016 (5465),5465,GAZTERIA PROIEKTUAK,2016,0.0,0.0
1 02.226.06.323.00 2016 (5466),5466,KULTUR EKINTZAK:IKASTETXEAK,2016,0.0,3417.18
1 02.226.06.334.00 2016 (5467),5467,KULTUR EKINTZAK,2016,0.0,17181.5
1 02.226.06.335.00 2016 (5468),5468,EKINTZA-KANPAINA:EUSKARA ZERBITZUA,2016,0.0,2969.34
1 02.226.95.231.00 2016 (5469),5469,HEZKIDETZA PROGR.BERDINTASUNA,2016,0.0,9020.0
1 02.226.95.231.02 2016 (5470),5470,HARRERA PLANA.INMIGRAZIOA,2016,0.0,0.0
1 02.226.96.231.00 2016 (5471),5471,TAILERRAK.BERDINTASUNA,2016,0.0,4381.92
1 02.226.96.231.02 2016 (5472),5472,BESTE PROGR.INMIGRAZIOA,2016,0.0,1800.0
1 02.226.97.231.00 2016 (5473),5473,BESTE EKIMENAK.BERDINTASUNA,2016,0.0,4356.0
1 02.226.98.172.30 2016 (5432),5432,TOKIKO AGENDA 21,2016,0.0,363.0
1 02.226.99.172.20 2016 (5425),5425,MATERIALA.BESTE.INGURUGIROA,2016,0.0,7042.2
1 02.226.99.332.10 2016 (5477),5477,EKIMENAK.BESTE.LIBURUTEGIA,2016,0.0,700.0
1 02.226.99.432.00 2016 (5479),5479,TURISMOA-HIRI MARKA,2016,0.0,0.0
1 02.226.99.920.11 2016 (5480),5480,MATERIALA.SEGURT.OSASUNA,2016,0.0,0.0
1 02.226.99.924.00 2016 (5481),5481,PARTEHARTZE EKIMENAK,2016,0.0,28222.03
1 02.227.07.172.20 2016 (5428),5428,AZTERKETAK:INGURUGIROA,2016,0.0,44649.97
1 02.227.07.241.00 2016 (5482),5482,AZTERKETAK-PERCO-KOMERTZIOA,2016,0.0,0.0
1 02.227.07.323.00 2016 (5483),5483,PROGR.KONPENTENTZIA DIGITALA IKASTETXEET,2016,0.0,19510.0
1 02.227.99.924.00 2016 (5487),5487,AUZOLAN-MARTINDEGI,2016,0.0,6490.37
1 02.471.01.241.00 2016 (5489),5489,KOMERTZIOARI DIGULAGUNTZAK-PERCO,2016,0.0,0.0
1 02.480.01.151.10 2016 (5404),5404,DIRULAG. ETXEBIZITZA BIRGAITZEKO OBRAK,2016,0.0,1000.0
1 02.481.01.241.00 2016 (5490),5490,BERRIAK ELKARTEA-HITZARMENA,2016,0.0,2400.0
1 02.481.01.323.00 2016 (5492),5492,DIRULAG:IKASTETXEAK KANPOKO EKINTZ,2016,0.0,3696.0
1 02.481.01.334.00 2016 (5493),5493,DIRULAG:KULTURA(NORGEHIAGOKA),2016,0.0,7141.76
1 02.481.01.912.00 2016 (5494),5494,DIRULAGUNTZA ZUZENAK.GOBERNU ORGANUAK,2016,0.0,4734.0
1 02.481.02.231.01 2016 (5439),5439,DIRULAG.LANKIDETZA.GKE.PROIEKTUAK,2016,0.0,60600.0
1 02.481.02.231.03 2016 (5495),5495,ALOKAIRU DIRULAG-GAZTERIA,2016,0.0,81841.0
