#Eko. azpikontzeptua,Deskribapena,Urtea,Programa,Departamentua,Hasierako aurr.,Igoerak,Atxekipenak,Behin bet aurr.,Oblig - ordain
10001,Oinarrizko ordainketak eta bestelako ordainsariak,2018,91200,02,423088.95,0.0,0.0,423088.95,303821.96
11001,Oinarrizko ordainketak eta bestelako ordainsariak,2018,91200,02,35956.67,0.0,0.0,35956.67,27798.28
12001,Oinarrizko ordainketak,2018,13000,02,1200254.22,0.0,0.0,1200254.22,515111.44
12001,Oinarrizko ordainketak,2018,15000,02,233609.67,0.0,0.0,233609.67,85077.45
12001,Oinarrizko ordainketak,2018,15110,02,27113.64,0.0,0.0,27113.64,10912.54
12001,Oinarrizko ordainketak,2018,15120,02,79848.94,0.0,0.0,79848.94,5623.92
12001,Oinarrizko ordainketak,2018,15121,02,119548.29,0.0,0.0,119548.29,25831.68
12001,Oinarrizko ordainketak,2018,15122,02,90139.99,0.0,0.0,90139.99,33334.57
12001,Oinarrizko ordainketak,2018,15123,02,43082.9,0.0,0.0,43082.9,22386.18
12001,Oinarrizko ordainketak,2018,15124,02,20823.11,0.0,0.0,20823.11,13059.44
12001,Oinarrizko ordainketak,2018,15125,02,47232.54,0.0,0.0,47232.54,22761.74
12001,Oinarrizko ordainketak,2018,15126,02,76693.73,0.0,0.0,76693.73,24801.22
12001,Oinarrizko ordainketak,2018,16100,02,65743.12,0.0,0.0,65743.12,9680.84
12001,Oinarrizko ordainketak,2018,16500,02,65477.46,0.0,0.0,65477.46,17770.14
12001,Oinarrizko ordainketak,2018,17000,02,54187.14,0.0,0.0,54187.14,13998.24
12001,Oinarrizko ordainketak,2018,17100,02,42326.9,0.0,0.0,42326.9,7947.01
12001,Oinarrizko ordainketak,2018,23000,02,118886.48,0.0,0.0,118886.48,5572.23
12001,Oinarrizko ordainketak,2018,23100,02,49110.54,0.0,0.0,49110.54,46462.17
12001,Oinarrizko ordainketak,2018,23110,02,23692.24,0.0,0.0,23692.24,1075.91
12001,Oinarrizko ordainketak,2018,23150,02,13590.1,0.0,0.0,13590.1,0.0
12001,Oinarrizko ordainketak,2018,23160,02,49581.74,0.0,0.0,49581.74,21772.09
12001,Oinarrizko ordainketak,2018,23170,02,61003.2,0.0,0.0,61003.2,18287.92
12001,Oinarrizko ordainketak,2018,23180,02,88494.82,0.0,0.0,88494.82,44514.57
12001,Oinarrizko ordainketak,2018,32000,02,93694.24,0.0,0.0,93694.24,71698.63
12001,Oinarrizko ordainketak,2018,32700,02,14485.38,0.0,0.0,14485.38,8277.36
12001,Oinarrizko ordainketak,2018,33000,02,73868.34,0.0,0.0,73868.34,29365.02
12001,Oinarrizko ordainketak,2018,33210,02,94042.46,0.0,0.0,94042.46,47231.12
