Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr.,Onart. Oblig.
1 02.227.99.920.00 2015 (5705),5705,HAINB.KONTRATU ADMIN.OROKORRA,2015,0.0,0.0
1 02.601.01.151.10 2015 (5726),5726,ELORRABIKO ZUBIA,2015,0.0,123569.71
1 02.601.02.151.10 2015 (5729),5729,URBANIZAZIO EJEKUZIO DIFERITUAK-2015,2015,0.0,0.0
1 02.601.11.151.10 2015 (5733),5733,ETXEBERRI URBANIZAZIOA-II.1 FASEA,2015,0.0,673125.17
1 05.609.02.151.10 2015 (5769),5769,HAUR PARKEA ESTALI-ANTZIOLABERRI,2015,0.0,8245.0
1 02.226.04.920.00 2016 (5672),5672,GASTU JURIDIKOAK:ADMIN.OROKORRA,2016,0.0,0.0
1 02.226.97.231.00 2016 (5680),5680,BESTE EKIMENAK.BERDINTASUNA,2016,0.0,3600.0
1 02.226.99.924.00 2016 (5693),5693,PARTEHARTZE EKIMENAK,2016,0.0,0.0
1 02.227.07.172.20 2016 (5695),5695,AZTERKETAK:INGURUGIROA,2016,0.0,14648.26
1 02.480.01.151.10 2016 (5709),5709,DIRULAG. ETXEBIZITZA BIRGAITZEKO OBRAK,2016,0.0,4773.31
1 02.481.02.231.01 2016 (5715),5715,DIRULAG.LANKIDETZA.GKE.PROIEKTUAK,2016,0.0,20917.06
1 02.481.02.335.00 2016 (5723),5723,DIRULAG.:EUSKARA (ZUZENAK),2016,0.0,0.0
1 02.601.02.151.10 2016 (5730),5730,LANDARE POLIGONO BIDEA,2016,0.0,1452.0
1 02.622.01.342.00 2016 (5736),5736,KIROLDEGIA-IGERILEKUAK-FASE II,2016,0.0,16621.58
1 02.625.99.342.00 2016 (5742),5742,KIROL MAKINAK: KIROLDEGIA,2016,0.0,3244.01
1 02.643.01.151.10 2016 (5744),5744,PROIEKTU TEKNIKOAK.HIRIGINTZA,2016,0.0,3025.0
1 05.623.02.161.00 2016 (5779),5779,INSTALAZIOAK: UR HORNIDURA,2016,0.0,5310.42
1 09.623.02.342.03 2016 (5805),5805,HERABAKI-17-LANDARE HOBEKUNTZAK,2016,0.0,42139.0
1 02.211.01.342.00 2017 (5662),5662,MANTENU OROKORRA.KIROLDEGIA,2017,0.0,5760.57
1 02.211.01.342.01 2017 (5663),5663,MANTENU OROKORRA.KANPO IGERILEKUAK,2017,0.0,4507.25
1 02.213.01.132.00 2017 (5665),5665,MANTENUA IBILGAILUA.UDALTZAINGOA,2017,0.0,3947.11
1 02.221.14.342.00 2017 (5667),5667,KIROL MATERIALA,2017,0.0,2464.63
1 02.226.03.341.00 2017 (5669),5669,PUBLIZITATEA KIROL SAILA,2017,0.0,0.0
1 02.226.06.323.00 2017 (5673),5673,KULTUR EKINTZAK:IKASTETXEAK,2017,0.0,2466.88
1 02.226.06.334.00 2017 (5675),5675,KULTUR EKINTZAK,2017,0.0,22681.71
1 02.226.06.335.00 2017 (5676),5676,EKINTZA-KANPAINA:EUSKARA ZERBITZUA,2017,0.0,186.98
1 02.226.06.342.00 2017 (5677),5677,EKINTZAK: KIROL JOLASGARRIAK,2017,0.0,2683.15
1 02.226.95.231.00 2017 (5678),5678,HEZKIDETZA PROGR.BERDINTASUNA,2017,0.0,7542.5
1 02.226.96.231.02 2017 (5679),5679,BESTE PROGR.INMIGRAZIOA,2017,0.0,1800.0
1 02.226.97.231.00 2017 (5681),5681,BESTE EKIMENAK.BERDINTASUNA,2017,0.0,8984.4
1 02.226.98.172.30 2017 (5683),5683,TOKIKO AGENDA 21,2017,0.0,2904.0
1 02.226.99.172.20 2017 (5684),5684,MATERIALA.BESTE.INGURUGIROA,2017,0.0,4138.2
1 02.226.99.241.00 2017 (5685),5685,EKIMENAK. TOKI GARAPENA,2017,0.0,4712.04
1 02.226.99.332.10 2017 (5686),5686,EKIMENAK.BESTE.LIBURUTEGIA,2017,0.0,5930.5
1 02.226.99.335.20 2017 (5687),5687,BURUNTZALD.EUSKERA EGITASMOAK,2017,0.0,1436.33
1 02.226.99.432.00 2017 (5690),5690,MATERIALA.BESTE. TURISMOA,2017,0.0,9246.58
1 02.226.99.912.00 2017 (5691),5691,H.GASTU:GOBERNU ORGANOAK,2017,0.0,2518.01
1 02.226.99.920.11 2017 (5692),5692,MATERIALA.SEGURT.OSASUNA,2017,0.0,6754.73
1 02.226.99.924.00 2017 (5694),5694,PARTEHARTZE EKIMENAK,2017,0.0,6171.0
1 02.227.07.172.20 2017 (5696),5696,AZTERKETAK:INGURUGIROA,2017,0.0,59370.62
1 02.227.07.912.00 2017 (5698),5698,KANPO LANAK.HAINBAT.GOBERNU ORGANOAK,2017,0.0,0.0
1 02.227.98.920.00 2017 (5700),5700,BIDEOAKTA SISTEMA,2017,0.0,36938.83
1 02.227.99.341.00 2017 (5702),5702,PROGR.PAREKIDETASUNA KIROLEAN,2017,0.0,4425.0
1 02.227.99.342.00 2017 (5703),5703,BESTE KONTRATUAK: KIROLDEGIA,2017,0.0,0.0
1 02.227.99.912.00 2017 (5704),5704,KONTRATUA.BIZIKIDETZA PROIEKTUA,2017,0.0,10594.16
1 02.227.99.920.20 2017 (5706),5706,INFORMATIKA KANPOKO ENPRESEN LANAK,2017,0.0,18313.32
1 02.481.01.241.00 2017 (5710),5710,BERRIAK ELKARTEA-HITZARMENA,2017,0.0,5600.0
1 02.481.01.323.00 2017 (5711),5711,DIRULAG:IKASTETXEAK KANPOKO EKINTZ,2017,0.0,3682.0
1 02.481.01.334.00 2017 (5712),5712,DIRULAG:KULTURA(NORGEHIAGOKA),2017,0.0,524.73
1 02.481.01.341.00 2017 (5714),5714,DIRULAG:KIROL EKINTZAK,2017,0.0,35000.0
1 02.481.02.231.01 2017 (5716),5716,DIRULAG.LANKIDETZA.GKE.PROIEKTUAK,2017,0.0,0.0
1 02.481.02.231.03 2017 (5718),5718,ALOKAIRU DIRULAG-GAZTERIA,2017,0.0,79830.0
1 02.481.02.231.04 2017 (5720),5720,ALOKAIRU DIRULAGUNTZAK HELDUAK,2017,0.0,49555.0
1 02.481.02.334.00 2017 (5721),5721,DIRULAG.ARTE SORKUNTZA.,2017,0.0,10000.0
1 02.481.02.334.10 2017 (5722),5722,DIRULAG:AUZO ELKARTEAK,2017,0.0,0.0
1 02.481.05.924.00 2017 (5725),5725,DIRULAG.AUZOLAN PROGRAMAK,2017,0.0,5875.67
1 02.601.01.151.20 2017 (5727),5727,BUTANO-06-EREMUA,2017,0.0,44550.0
1 02.601.02.151.10 2017 (5731),5731,A-15-AKARREGI BIRIBILGUNEA LOTURA,2017,0.0,80479.21
1 02.601.13.151.10 2017 (5734),5734,KARABEL AUZOA URBANIZAZIOA,2017,0.0,377453.19
1 02.601.14.151.10 2017 (5735),5735,URBIETA KALEA PEATONALIZAZIOA,2017,0.0,0.0
1 02.622.01.151.10 2017 (5819),5819,ITURMENDI ETXEBIZITZA DOTAZIONALAK,2017,0.0,0.0
1 02.622.01.432.00 2017 (5738),5738,PATAGONIA ERAIKINA,2017,0.0,4840.0
1 02.622.02.231.00 2017 (5739),5739,EMAKUMEEN ETXEA EGOKITZEA,2017,0.0,18972.8
1 02.623.01.342.00 2017 (5741),5741,HAIZE SISTEMA.KIROLDEGIA,2017,0.0,7018.0
1 02.626.01.920.20 2017 (5743),5743,INFORMAZIO-PROZESUETARAKO EKIPOAK,2017,0.0,1657.7
1 02.643.01.151.10 2017 (5745),5745,PROIEKTU TEKNIKOAK.HIRIGINTZA,2017,0.0,29645.0
1 02.644.01.920.20 2017 (5746),5746,APLIKAZIO INFORMATIKOAK,2017,0.0,3049.2
1 02.852.01.933.00 2017 (5747),5747,FAGOLLAGA SA-AKZIO EROSKETA,2017,0.0,0.0
1 05.210.01.153.20 2017 (5748),5748,KALEAK.BIDEAK.MANTENUA.,2017,0.0,27361.25
1 05.210.01.161.00 2017 (5749),5749,UR SAREA.MANTENUA,2017,0.0,23800.0
1 05.210.01.171.00 2017 (5750),5750,BESTE LANAK:PARKEAK ETA LORATEGIAK,2017,0.0,0.0
1 05.210.01.414.00 2017 (5751),5751,INGURUNEAREN HOBEKUNTZA.MANTENUA,2017,0.0,7348.0
1 05.211.01.323.10 2017 (5752),5752,IKASTETXEAK-MANTENUA,2017,0.0,5257.45
1 05.211.01.920.02 2017 (5754),5754,MANTENU OROKORRA.UDAL ERAIKINAK,2017,0.0,1595.69
1 05.212.01.333.00 2017 (5755),5755,MANT.MAKIN:KULTUR ETXEA,2017,0.0,0.0
1 05.212.01.920.02 2017 (5756),5756,MANT.MAKIN:UDAL ERAIKINAK,2017,0.0,0.0
1 05.221.04.342.00 2017 (5757),5757,BIOMASA HORNIDURA,2017,0.0,10309.2
1 05.226.99.162.10 2017 (5758),5758,MATERIALA.HONDAKINEN KUDEAKETA,2017,0.0,3050.89
1 05.227.01.163.00 2017 (5759),5759,KALE GARBIKETA KONTRATUA,2017,0.0,2032.8
1 05.601.01.134.00 2017 (5763),5763,IRISGARRITASUN PLANA,2017,0.0,50411.41
1 05.601.01.153.20 2017 (5764),5764,KALEEN ASFALTADOA,2017,0.0,50139.08
1 05.601.01.153.70 2017 (5766),5766,LANDA BIDEAK. INBERTSIOA,2017,0.0,60186.51
1 05.601.02.153.20 2017 (5767),5767,OINEZKO PASOAK,2017,0.0,0.0
1 05.609.01.171.00 2017 (5768),5768,LOREZAINTZA INBERTSIOAK,2017,0.0,0.0
1 05.609.03.153.20 2017 (5770),5770,HAINBAT URBANIZAZIO,2017,0.0,1274.63
1 05.622.01.323.10 2017 (5774),5774,IKASTETXEAK-INBERTSIOAK,2017,0.0,0.0
1 05.622.01.333.00 2017 (5775),5775,BITERI-ARETO NAGUSIA BERRIKUNTZA,2017,0.0,80999.72
1 05.622.01.920.02 2017 (5776),5776,UDAL ERAIKINAK.INBERTSIOAK.,2017,0.0,94964.45
1 05.623.01.162.10 2017 (5777),5777,MAKINARIA-BARREDORA,2017,0.0,0.0
1 05.623.01.164.00 2017 (5778),5778,HILERRIA INBERTSIOAK,2017,0.0,0.0
1 05.624.01.153.40 2017 (5781),5781,ZERBITZUETAKO IBILGAILUA,2017,0.0,0.0
1 05.624.02.153.40 2017 (5782),5782,ZERBITZUETAKO KAMIOIA-GRUA,2017,0.0,0.0
1 05.625.99.162.10 2017 (5783),5783,AUZOKONPOSTA,2017,0.0,0.0
1 09.226.99.135.00 2017 (5785),5785,HERABAKI-11-SUTEEN PREBENTZIOA,2017,0.0,0.0
1 09.226.99.231.03 2017 (5786),5786,HERABAKI-6-HAURRENTZAT PARKEA,2017,0.0,0.0
1 09.226.99.332.10 2017 (5787),5787,HERABAKI-6-IPUIN KONTAKETA,2017,0.0,3972.38
1 09.227.98.231.03 2017 (5788),5788,HERABAKI-5-KULTUR AISIALDI EKINTZAK,2017,0.0,3096.3
1 09.227.99.231.03 2017 (5789),5789,HERABAKI-27-KIROL IKASTAROAK,2017,0.0,1805.57
1 09.227.99.323.00 2017 (5790),5790,HERABAKI-31-IKASLE ETORRIBERRIAK,2017,0.0,1131.49
1 09.601.01.151.10 2017 (5791),5791,HERABAKI-4-ETXEBERRI 7 MALDA,2017,0.0,0.0
1 09.609.01.134.00 2017 (5792),5792,HERABAKI-24-SAGASTIALDE LAIZTIAGA SARBID,2017,0.0,45210.3
1 09.609.01.153.30 2017 (5793),5793,HERABAKI-28-LEOKA LABADEROA,2017,0.0,0.0
1 09.609.01.342.02 2017 (5794),5794,HERABAKI-34-ZUBIPE LANAK,2017,0.0,0.0
1 09.609.02.153.30 2017 (5795),5795,HERABAKI-7-HAUR PARKEAK,2017,0.0,0.0
1 09.609.03.153.30 2017 (5796),5796,HERABAKI-21-MARKESINA ZIKUÑAGA,2017,0.0,0.0
1 09.609.03.341.00 2017 (5797),5797,HERABAKI-26-KIROL MAKINAK PARKEAN,2017,0.0,0.0
1 09.609.04.153.30 2017 (5798),5798,HERABAKI-3-PARKEAK,2017,0.0,0.0
1 09.609.98.153.30 2017 (5800),5800,HERABAKI-12-KARABEL PARKEA,2017,0.0,0.0
1 09.609.99.153.30 2017 (5801),5801,HERABAKI-27-SORGINTXULO PLAZA,2017,0.0,665.0
1 09.609.99.161.00 2017 (5815),5815,HERABAKI-13-ITURRIAK,2017,0.0,0.0
1 09.609.99.171.00 2017 (5802),5802,HERABAKI-19-LANDAKETAK HONDAKINAK,2017,0.0,0.0
1 09.622.01.323.10 2017 (5803),5803,HERABAKI-32-ZIKUÑAGA IKASTETXEA,2017,0.0,0.0
1 09.623.02.165.00 2017 (5804),5804,HERABAKI-8-SMART HERRIA,2017,0.0,2407.0
1 09.623.98.165.00 2017 (5806),5806,HERABAKI-10-PROGRAMADOREA,2017,0.0,0.0
1 09.625.01.153.30 2017 (5807),5807,HERABAKI-11-KARABEL PINGPONG,2017,0.0,0.0
1 09.625.01.342.00 2017 (5814),5814,HERABAKI-15-KIROLDEGIA-TAKILAK,2017,0.0,2312.37
1 01.100.01.912.00 2018 (4245),4245,SOLDATAK.GOBERNU ORGANOAK,2018,171514.0,167277.41
1 01.110.01.132.00 2018 (5608),5608,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,2018,47469.0,37297.26
1 01.110.01.912.00 2018 (4246),4246,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,2018,29851.0,41734.75
1 01.120.01.132.00 2018 (4247),4247,FUNTZIONARIOAK.SOLDATA.OINARRIA.UDALTZAI,2018,323454.0,337444.57
1 01.120.01.151.00 2018 (4248),4248,FUNTZIONARIOAK.SOLDATA.OINARRIA.HIRIGINT,2018,132336.0,132376.53
1 01.120.01.153.40 2018 (4249),4249,FUNTZIONARIOAK.SOLDATA.OINARRIA.OBRETAKO,2018,183581.0,158886.67
1 01.120.01.161.00 2018 (4251),4251,FUNTZIONARIOAK.SOLDATA.OINARRIA.UR HORNI,2018,62744.0,47986.88
1 01.120.01.164.00 2018 (4252),4252,FUNTZIONARIOAK.SOLDATA.OINARRIA.HILERRIA,2018,8744.0,8636.0
1 01.120.01.165.00 2018 (4253),4253,FUNTZIONARIOAK.SOLDATA.OINARRIA.KALEKO A,2018,9068.0,21997.58
1 01.120.01.172.20 2018 (4254),4254,FUNTZIONARIOAK.SOLDATA.OINARRIA.INGURUGI,2018,38571.0,38074.1
1 01.120.01.231.00 2018 (4257),4257,FUNTZIONARIOAK.SOLDATA.OINARRIA.BERDINTA,2018,43069.0,53788.29
1 01.120.01.231.01 2018 (4256),4256,FUNTZIONARIOAK.SOLDATA.OINARRIA.LANKIDET,2018,909.0,0.0
1 01.120.01.231.03 2018 (4867),4867,FUNTZIONARIOA.SOLDATA.OINARRIA. GAZTERIA,2018,13696.0,11731.82
1 01.120.01.241.00 2018 (4258),4258,FUNTZIONARIOA.SOLDATA.OINARRIA. TOKI GAR,2018,34295.0,31492.33
1 01.120.01.323.10 2018 (4259),4259,FUNTZIONARIOA.SOLDATA.OINARRIA.IKASTETXE,2018,39052.0,43382.24
1 01.120.01.326.01 2018 (4261),4261,FUNTZIONARIOA.SOLDATA.OINARRIA.MUSIKA ES,2018,229496.0,233902.39
1 01.120.01.330.00 2018 (4262),4262,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTURA Z,2018,29746.0,30746.94
1 01.120.01.332.10 2018 (4263),4263,FUNTZIONARIOA.SOLDATA.OINARRIA.LIBURUTEG,2018,82335.0,88981.5
1 01.120.01.333.00 2018 (4264),4264,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTUR ET,2018,20730.0,23740.51
1 01.120.01.335.00 2018 (4265),4265,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA Z,2018,71482.0,72982.32
1 01.120.01.335.10 2018 (4266),4266,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKALTEG,2018,150260.0,153424.82
1 01.120.01.335.30 2018 (4267),4267,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA P,2018,19218.0,19527.56
1 01.120.01.335.40 2018 (5609),5609,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA P,2018,12170.0,45818.83
1 01.120.01.342.00 2018 (4269),4269,FUNTZIONARIOAK.SOLDATA.OINARRIA.KIROLDEG,2018,204353.0,187932.39
1 01.120.01.342.01 2018 (4270),4270,FUNTZIONARIOA.SOLDATA.OINARRIA.IGERILEKU,2018,4460.0,3768.12
1 01.120.01.414.00 2018 (4271),4271,FUNTZIONARIOA.SOLDATA.OINARRIA.INGURUNEA,2018,8558.0,11029.89
1 01.120.01.432.00 2018 (4272),4272,FUNTZIONARIOA.SOLDATA.OINARRIA.TURISMOA,2018,18528.0,18826.08
1 01.120.01.920.00 2018 (4273),4273,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINISTR,2018,136871.0,142680.71
1 01.120.01.920.10 2018 (4274),4274,FUNTZIONARIOA.SOLDATA.OINARRIA.PERTSONAL,2018,48938.0,47857.6
1 01.120.01.920.11 2018 (4275),4275,FUNTZIONARIOA.SOLDATA.OINARRIA.SEGURTASU,2018,19909.0,20594.05
1 01.120.01.920.20 2018 (4276),4276,FUNTZIONARIOA.SOLDATA.OINARRIA.INFORMATI,2018,30818.0,31929.3
1 01.120.01.920.30 2018 (4277),4277,FUNTZIONARIOA.SOLDATA.OINARRIA.ARTXIBOA,2018,19202.0,19506.7
1 01.120.01.929.10 2018 (4278),4278,FUNTZIONARIOA.SOLDATA.OINARRIA.BAKE EPAI,2018,6401.0,4814.01
1 01.120.01.931.00 2018 (4279),4279,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINIST.,2018,117415.0,115241.89
1 01.120.01.932.00 2018 (4280),4280,FUNTZIONARIOA.SOLDATA.OINARRIA.BILKETA,2018,69331.0,67822.02
1 01.120.01.933.00 2018 (4281),4281,FUNTZIONARIOA.SOLDATA.OINARRIA.ONDAREA-K,2018,45178.0,39733.99
1 01.121.06.920.10 2018 (4282),4282,LANGILEEN ORDEZKAPENETARAKO POLTSA,2018,47789.0,0.0
1 01.121.99.132.00 2018 (4283),4283,FUNTZIONARIOAK.SOLDATA.OSAGARRIA.UDALTZA,2018,707134.0,782520.45
1 01.121.99.151.00 2018 (4284),4284,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HIRIGINT,2018,204894.0,204890.25
1 01.121.99.153.40 2018 (4285),4285,FUNTZIONARIOA.SOLDATA.OSAGARRIA.OBRETAKO,2018,344544.0,331847.53
1 01.121.99.161.00 2018 (4287),4287,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UR HORNI,2018,119523.0,99844.06
1 01.121.99.164.00 2018 (4288),4288,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HILERRIA,2018,20678.0,18005.51
1 01.121.99.165.00 2018 (4289),4289,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KALEKO A,2018,22540.0,44918.73
1 01.121.99.172.20 2018 (4290),4290,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUGI,2018,39995.0,42262.98
1 01.121.99.231.00 2018 (4293),4293,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BERDINTA,2018,60211.0,70764.4
1 01.121.99.231.01 2018 (4292),4292,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LANKIDET,2018,2122.0,0.0
1 01.121.99.231.03 2018 (4869),4869,FUNTZIONARIOA.SOLDATA.OSAGARRIA. GAZTERI,2018,20321.0,18668.25
1 01.121.99.241.00 2018 (4294),4294,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TOKI GAR,2018,40643.0,45145.86
1 01.121.99.323.10 2018 (4295),4295,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IKASTETX,2018,78865.0,82510.85
1 01.121.99.326.01 2018 (4297),4297,FUNTZIONARIOA.SOLDATA.OSAGARRIA.MUSIKA E,2018,238979.0,274883.38
1 01.121.99.330.00 2018 (4298),4298,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTURA,2018,52168.0,52904.16
1 01.121.99.332.10 2018 (4299),4299,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LIBURUTE,2018,91675.0,109962.26
1 01.121.99.333.00 2018 (4300),4300,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTUR E,2018,34796.0,43700.41
1 01.121.99.335.00 2018 (4301),4301,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,2018,81095.0,82262.95
1 01.121.99.335.10 2018 (4302),4302,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKALTE,2018,154385.0,160816.83
1 01.121.99.335.30 2018 (4303),4303,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,2018,18798.0,19063.79
1 01.121.99.335.40 2018 (4304),4304,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UDALEKUA,2018,28400.0,12511.04
1 01.121.99.342.00 2018 (4305),4305,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KIROLDEG,2018,277089.0,319876.23
1 01.121.99.342.01 2018 (4306),4306,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IGERILEK,2018,10408.0,11438.94
1 01.121.99.414.00 2018 (4307),4307,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUNE,2018,18962.0,19566.13
1 01.121.99.432.00 2018 (4308),4308,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TURISMOA,2018,18798.0,18977.24
1 01.121.99.920.00 2018 (4310),4310,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,2018,188187.0,191490.84
1 01.121.99.920.10 2018 (4311),4311,FUNTZIONARIOA.SOLDATA.OSAGARRIA.PERTSONA,2018,67751.0,70435.48
1 01.121.99.920.11 2018 (4312),4312,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LAN SEGU,2018,27165.0,27028.93
1 01.121.99.920.20 2018 (4313),4313,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INFORMAT,2018,45891.0,51563.09
1 01.121.99.920.30 2018 (4314),4314,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ARTXIBOA,2018,21197.0,21432.31
1 01.121.99.929.10 2018 (4315),4315,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BAKE EPA,2018,7066.0,6396.59
1 01.121.99.931.00 2018 (4316),4316,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,2018,160874.0,169160.41
1 01.121.99.932.00 2018 (4317),4317,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BILKETA,2018,88278.0,118204.98
1 01.121.99.933.00 2018 (4318),4318,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ONDAREA-,2018,67751.0,60250.32
1 01.131.01.241.00 2018 (5824),5824,ALDIBATERAKO.SOLDATA.TOKI GARAPENA,2018,0.0,1756.37
1 01.131.01.241.01 2018 (4321),4321,ALDIBATERAKO.SOLDATA.IKASTAROAK.,2018,27300.0,23016.42
1 01.131.01.241.02 2018 (4322),4322,ALDIBATERAKO.SOLDATA.LANBIDE PROGRAMAK,2018,37500.0,45623.64
1 01.131.01.324.10 2018 (4325),4325,ALDIBATERAKO.SOLDATA.HLP PROGRAMAK,2018,115239.0,106963.18
1 01.131.01.333.00 2018 (4326),4326,ALDIBATERAKO.SOLDATA.KULTUR ETXEA,2018,2179.0,0.0
1 01.160.01.132.00 2018 (4329),4329,GIZ.SEGURANTZA.UDALTZAINGOA,2018,326725.0,321600.15
1 01.160.01.151.00 2018 (4330),4330,GIZ.SEGURANTZA.HIRIGINTZA,2018,95770.0,86276.94
1 01.160.01.153.40 2018 (4331),4331,GIZ.SEGURANTZA.OBRETAKO LANTALDEA,2018,163405.0,131605.59
1 01.160.01.161.00 2018 (4333),4333,GIZ.SEGURANTZA.UR HORNIDURA,2018,59854.0,50525.46
1 01.160.01.164.00 2018 (4334),4334,GIZARTE SEGUR:HILERRIA,2018,9090.0,8532.41
1 01.160.01.165.00 2018 (4335),4335,GIZ.SEGURANTZA.KALEKO ARGIKUNTZA,2018,11505.0,23143.2
1 01.160.01.172.20 2018 (4336),4336,GIZARTE SEGUR:INGURUGIROA,2018,20445.0,20211.18
1 01.160.01.231.00 2018 (4339),4339,GIZARTE SEGUR:BERDINTASUNA,2018,30756.0,35864.79
1 01.160.01.231.01 2018 (4338),4338,GIZARTE SEGUR:LANKIDETZA,2018,946.0,0.0
1 01.160.01.231.03 2018 (4870),4870,GIZARTE SEGUR. GAZTERIA,2018,10881.0,9500.24
1 01.160.01.241.00 2018 (4340),4340,GIZARTE SEGUR:TOKI GARAPENA,2018,21373.0,27385.63
1 01.160.01.241.01 2018 (4341),4341,GIZARTE SEGURANTZA.ENPLEGU IKASTAROAK,2018,8800.0,7486.34
1 01.160.01.241.02 2018 (4342),4342,GIZARTE SEGURANTZA.LANBIDE PROGRAMAK,2018,13500.0,16298.64
1 01.160.01.323.10 2018 (4344),4344,GIZARTE SEGUR:IKASTETXEAK,2018,42061.0,42044.18
1 01.160.01.324.10 2018 (4346),4346,GIZARTE SEGUR:HLP programak,2018,38871.0,34617.84
1 01.160.01.326.01 2018 (4347),4347,GIZARTE SEGUR:MUSIKA ESKOLA,2018,135946.0,132631.87
1 01.160.01.330.00 2018 (4348),4348,GIZARTE SEGUR:KULTURA ZERBITZUA,2018,25982.0,22967.71
1 01.160.01.332.10 2018 (4349),4349,GIZARTE SEGUR:LIBURUTEGIA,2018,46740.0,46197.89
1 01.160.01.333.00 2018 (4350),4350,GIZARTE SEGUR:KULTUR ETXEA,2018,16850.0,18931.69
1 01.160.01.335.00 2018 (4351),4351,GIZARTE SEGUR:EUSKARA ZERBITZUA,2018,39879.0,40798.67
1 01.160.01.335.10 2018 (4352),4352,GIZARTE SEGUR:EUSKALTEGIA,2018,87759.0,89898.5
1 01.160.01.335.30 2018 (4353),4353,GIZARTE SEGUR:EUSKARA PLANA,2018,10136.0,10342.14
1 01.160.01.335.40 2018 (4354),4354,GIZARTE SEGUR:UDALEKUAK,2018,12764.0,18350.6
1 01.160.01.342.00 2018 (4355),4355,GIZ.SEG+OLAZ:KIROLDEGIA,2018,127854.0,105837.77
1 01.160.01.342.01 2018 (4356),4356,GIZARTE SEGUR:IGERILEKUAK,2018,4661.0,6427.05
