#Eko. azpikontzeptua,Deskribapena,Urtea,Programa,Departamentua,Hasierako aurr,Igoerak,Atxekipenak ,Behin bet aurr,Onart. eskubid. gordinak,Eskub. deusezt,Onar esk garbiak
93301,Tokiko sektore publikotik kanpokoak,2016,00000,03,0.0,804389.0,0.0,804389.0,0.0,0.0,0.0
93301,Tokiko sektore publikotik kanpokoak,2017,00000,03,0.0,1500000.0,0.0,1500000.0,0.0,0.0,0.0
41001,Administrazio orokorrarenak,2018,32710,01,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0
42002,Lurralde historikokoak,2018,32710,01,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0
42001,Itundutako zergetako partaidetza,2018,32720,01,10000.0,0.0,0.0,10000.0,3628.6,0.0,3628.6
82301,Pertsonalaren aurrerakinak,2018,00000,02,35000.0,0.0,0.0,35000.0,20782.0,0.0,20782.0
41201,Ente publikoenak,2018,24100,02,387000.0,0.0,0.0,387000.0,373342.74,0.0,373342.74
49001,E.g.f.,2018,24100,02,0.0,267738.06,0.0,267738.06,0.0,0.0,0.0
41101,Erakunde autonomoenak,2018,92030,02,8000.0,0.0,0.0,8000.0,0.0,0.0,0.0
11201,Landa ondasunak,2018,00000,03,9000.0,0.0,0.0,9000.0,9134.26,0.0,9134.26
11202,Hiri ondasunak,2018,00000,03,6534000.0,0.0,0.0,6534000.0,6574720.76,12086.66,6562634.1
11301,Trakzio mekanikoko ibilgailuen gaineko zerga,2018,00000,03,2254200.0,0.0,0.0,2254200.0,2293833.43,29402.46,2264430.97
11401,Hiri-lurren balio gehikuntzaren gaineko zerga,2018,00000,03,700000.0,0.0,0.0,700000.0,554236.9,14184.84,540052.06
13001,Enpresa jarduerak,2018,00000,03,610000.0,0.0,0.0,610000.0,648139.92,143.41,647996.51
38001,Itxitako ekitaldiei dagozkienak,2018,00000,03,50000.0,0.0,0.0,50000.0,34893.07,200.0,34693.07
39201,Premiamenduzko errekargua,2018,00000,03,186500.0,0.0,0.0,186500.0,108713.16,20.8,108692.36
39601,Konpentsazioak,2018,00000,03,100000.0,0.0,0.0,100000.0,64548.58,1240.52,63308.06
39901,Beste hainbat sarrera,2018,00000,03,92000.0,0.0,0.0,92000.0,42808.56,947.54,41861.02
40001,Itundu gabeko zergetako partaidetza,2018,00000,03,25851731.0,0.0,0.0,25851731.0,19544020.71,0.0,19544020.71
42001,Itundutako zergetako partaidetza,2018,00000,03,25600.0,0.0,0.0,25600.0,23740.56,0.0,23740.56
54001,Hiri-finken errentamenduaren emaitza,2018,00000,03,80000.0,0.0,0.0,80000.0,46180.43,3786.66,42393.77
56001,Gordailuen intereseak,2018,00000,03,2000.0,0.0,0.0,2000.0,475.04,0.0,475.04
87001,Kreditu gehigarriak finantzatzeko aplikazioa,2018,00000,03,0.0,7499809.38,0.0,7499809.38,0.0,0.0,0.0
87002,Kreditu txertaketak finantzatzeko aplikazioa,2018,00000,03,0.0,963276.23,0.0,963276.23,0.0,0.0,0.0
87003,,2018,00000,03,0.0,2190268.26,0.0,2190268.26,0.0,0.0,0.0
93101,Jasotako epe luzerako maileguak,2018,00000,03,1961000.0,0.0,0.0,1961000.0,0.0,0.0,0.0
93201,Tokiko sektore publikoaren barnekoak,2018,00000,03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48100,Irabazi asmorik gabeko erakundeenak,2018,43900,03,0.0,1800.0,0.0,1800.0,1800.0,0.0,1800.0
41001,Administrazio orokorrarenak,2018,92910,03,5500.0,0.0,0.0,5500.0,5725.0,0.0,5725.0
28201,"Eraikuntza, instalazio eta obren gaineko zerga",2018,00000,04,510000.0,0.0,0.0,510000.0,516077.59,100957.16,415120.43
49301,Komunitatearen beste fondo batzuenak,2018,00000,04,0.0,0.0,0.0,0.0,26011.1,0.0,26011.1
65101,Hirigintzako aprobetxamenduak,2018,00000,04,110000.0,0.0,0.0,110000.0,27243.61,0.0,27243.61
71001,Administrazio orokorrarenak,2018,00000,04,48000.0,0.0,0.0,48000.0,0.0,0.0,0.0
71002,Administrazio orokorrenak,2018,00000,04,85700.02,94299.98,0.0,180000.0,176845.18,0.0,176845.18
