Partida,Barruko ,Deskribapena,B. betiko aurrek.,Has.ko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.100.01.912.00 2019,4245.0,SOLDATAK.GOBERNU ORGANOAK,211909.0,211909.0,0.0,192891.64,19017.36,192891.64,192891.64,192891.64,192891.64,2019,91200,,1,,01
1 01.110.01.132.00 2019,5608.0,SOLDATAK. PERTS.BEREZIA.UDALTZAINGOA,48300.0,48300.0,0.0,49403.72,-1103.72,49403.72,49403.72,49403.72,49403.72,2019,13200,,1,,01
1 01.110.01.912.00 2019,4246.0,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,30373.0,30373.0,0.0,42949.52,-12576.52,42949.52,42949.52,42949.52,42949.52,2019,91200,,1,,01
1 01.120.01.132.00 2019,4247.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UDALTZAI,339585.0,339585.0,0.0,354030.52,-14445.52,354030.52,354030.52,354030.52,354030.52,2019,13200,,1,,01
1 01.120.01.151.00 2019,4248.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HIRIGINT,145122.0,145122.0,0.0,127744.01,17377.99,127744.01,127744.01,127744.01,127744.01,2019,15100,,1,,01
1 01.120.01.153.40 2019,4249.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.OBRETAKO,198414.0,198414.0,0.0,154438.77,43975.23,154438.77,154438.77,154438.77,154438.77,2019,15340,,1,,01
1 01.120.01.161.00 2019,4251.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UR HORNI,42912.0,42912.0,0.0,54046.59,-11134.59,54046.59,54046.59,54046.59,54046.59,2019,16100,,1,,01
1 01.120.01.164.00 2019,4252.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HILERRIA,8897.0,8897.0,0.0,8704.21,192.79,8704.21,8704.21,8704.21,8704.21,2019,16400,,1,,01
1 01.120.01.165.00 2019,4253.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.KALEKO A,13376.0,13376.0,0.0,15623.99,-2247.99,15623.99,15623.99,15623.99,15623.99,2019,16500,,1,,01
1 01.120.01.172.20 2019,4254.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.INGURUME,20394.0,20394.0,0.0,21754.02,-1360.02,21754.02,21754.02,21754.02,21754.02,2019,17220,,1,,01
1 01.120.01.231.00 2019,4257.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.BERDINTA,43823.0,43823.0,0.0,47807.63,-3984.63,47807.63,47807.63,47807.63,47807.63,2019,23100,,1,,01
1 01.120.01.231.01 2019,4256.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.LANKIDET,925.0,925.0,0.0,2071.04,-1146.04,2071.04,2071.04,2071.04,2071.04,2019,23101,,1,,01
1 01.120.01.231.03 2019,4867.0,FUNTZIONARIOA.SOLDATA.OINARRIA. GAZTERIA,24406.0,24406.0,0.0,20631.7,3774.3,20631.7,20631.7,20631.7,20631.7,2019,23103,,1,,01
