Partida,Barruko ,Deskribapena,B. betiko aurrek.,Has.ko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.100.01.912.00 2020,4245.0,SOLDATAK.GOBERNU ORGANOAK,251530.0,251530.0,0.0,268441.85,-16911.85,268441.85,268441.85,268441.85,268441.85,2020,91200,,1,,01
1 01.110.01.132.00 2020,5608.0,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,49388.0,49388.0,0.0,53859.38,-4471.38,53859.38,53859.38,53859.38,53859.38,2020,13200,,1,,01
1 01.110.01.912.00 2020,4246.0,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,65632.0,65632.0,0.0,67827.71,-2195.71,67827.71,67827.71,67827.71,67827.71,2020,91200,,1,,01
1 01.120.01.132.00 2020,4247.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UDALTZAI,396427.0,396427.0,0.0,343051.17,53375.83,343051.17,343051.17,343051.17,343051.17,2020,13200,,1,,01
1 01.120.01.151.00 2020,4248.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HIRIGINT,148483.0,148483.0,0.0,124720.34,23762.66,124720.34,124720.34,124720.34,124720.34,2020,15100,,1,,01
1 01.120.01.153.40 2020,4249.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.OBRETAKO,198206.0,198206.0,0.0,165416.89,32789.11,165416.89,165416.89,165416.89,165416.89,2020,15340,,1,,01
1 01.120.01.161.00 2020,4251.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UR HORNI,41960.0,41960.0,0.0,45294.94,-3334.94,45294.94,45294.94,45294.94,45294.94,2020,16100,,1,,01
1 01.120.01.164.00 2020,4252.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HILERRIA,9594.0,9594.0,0.0,1810.09,7783.91,1810.09,1810.09,1810.09,1810.09,2020,16400,,1,,01
1 01.120.01.165.00 2020,4253.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.KALEKO A,14242.0,14242.0,0.0,16091.43,-1849.43,16091.43,16091.43,16091.43,16091.43,2020,16500,,1,,01
1 01.120.01.172.20 2020,4254.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.INGURUME,21780.0,21780.0,0.0,21695.03,84.97,21695.03,21695.03,21695.03,21695.03,2020,17220,,1,,01
