Partida,Código interno,Descripción,Año,Ppto. Inicial (duplicado de Definitivo),B. betiko aurrek.,Eskubide onartu garbiak,Bilketa likidoa,Kobratzeko,Itzulketak
2 112.01.000.00 2020,1.0,O.H.G.Z.LANDA-ONDASUNAK,,25133.0,25133.0,25795.58,24770.35,1025.23,0.0
2 112.02.000.00 2020,2.0,O.H.F.Z.HIRI-ONDASUNAK,,3880953.0,3880953.0,3908825.72,3815421.21,93404.51,23656.32
2 113.01.000.00 2020,3.0,TRAKZIO MEKANIKODUN IBILGAILUEN,,1562514.0,1562514.0,1560502.24,1445884.88,114617.36,8106.84
2 114.01.000.00 2020,4.0,HIRI-LURREN BALIO GEHIKUNTZAREN ZERGA,,250000.0,250000.0,287058.06,171686.58,115371.48,1130.78
2 130.01.000.00 2020,5.0,IHARDUERA EKONOMIKOEN GAINEKO ZERGA,,1015458.0,1015458.0,1178519.28,1041743.33,136775.95,985.33
2 282.01.000.00 2020,7.0,ERAIKUNTZA-INSTALAZIO ZERGA-ICIO.,,519000.0,519000.0,3100416.04,2992553.34,107862.7,18422.2
2 310.01.162.10 2020,917.0,HONDAKINAK BILKETA ETA TRATAMENDUA,,1473687.0,1473687.0,1491630.84,1342466.21,149164.63,6894.55
2 310.02.160.00 2020,918.0,SANEAMENDU,,635433.0,635433.0,656998.53,627569.1,29429.43,12062.87
2 310.03.164.00 2020,919.0,UDAL HILERRIA,,30715.0,30715.0,60455.3,57539.3,2916.0,0.0
2 310.04.000.00 2020,349.0,AGIRIAK EGITEA,,1000.0,1000.0,1208.6,1132.6,76.0,85.1
2 310.05.000.00 2020,203.0,IBILGAILUAK BIDE PUBLIKOTIK JASO ETA KEN,,1000.0,1000.0,140.2,140.2,0.0,0.0
2 310.08.136.00 2020,920.0,SU-ITZALTZE,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.09.161.00 2020,921.0,UR HORNIDURA,,1398167.0,1398167.0,1425173.42,1366525.92,58647.5,20059.59
2 310.11.335.10 2020,922.0,UDAL EUSKALTEGIA,,58006.0,58006.0,23580.0,23580.0,0.0,20791.69
2 310.16.334.10 2020,923.0,BITERIKO TAILERRAK,,70345.0,70345.0,28583.05,28583.05,0.0,6823.04
2 310.20.326.01 2020,924.0,MUSIKA ESKOLA PUBLIKOA,,130000.0,130000.0,85562.46,85562.46,0.0,51900.28
2 310.21.326.02 2020,925.0,KANTUZ,,7000.0,7000.0,4350.78,4350.78,0.0,3296.24
2 310.22.335.40 2020,926.0,UDALEKUAK,,38000.0,38000.0,4399.8,4399.8,0.0,0.0
2 310.23.000.00 2020,260.0,ANIMALI ARRISKUTSUEN ERREJISTROA,,100.0,100.0,0.0,0.0,0.0,0.0
2 310.24.342.00 2020,927.0,KIROLDEGIKO ABONATUAK,,583164.0,583164.0,356141.05,356141.05,0.0,1787.54
2 310.25.342.00 2020,928.0,KIROLDEGIKO SARRERAK,,10000.0,10000.0,2869.24,2869.24,0.0,0.0
2 310.26.342.00 2020,929.0,KIROLDEGIKO IGERIKETA IKASTAROAK,,186236.0,186236.0,62063.34,62063.34,0.0,9843.71
2 310.27.342.00 2020,930.0,KIROLDEGIKO SQUASH-AREN ERABILPENA,,100.0,100.0,25.0,25.0,0.0,0.0
2 310.28.342.00 2020,931.0,KIROLDEGIKO IKASTAROAK,,182258.0,182258.0,70061.49,70061.49,0.0,10512.77
2 310.29.342.00 2020,932.0,KIROLDEG.PISTA ETA INSTALAZ.ERABILPENA,,5000.0,5000.0,379.6,379.6,0.0,0.0
2 310.30.342.00 2020,933.0,KIROLDEGIKO FRONTOIAREN ERABILPENA,,1000.0,1000.0,11.5,11.5,0.0,0.0
2 310.32.342.00 2020,935.0,KIROLDEGIKO SAUNAK,,5000.0,5000.0,986.7,986.7,0.0,0.0
2 310.35.342.01 2020,937.0,AISIALDI ETA JOLASER.IGERILEK.ABONATUAK,,110019.0,110019.0,24422.73,24422.73,0.0,465.75
2 310.36.342.01 2020,938.0,AISIALDI ETA JOLASER.IGERILEK.SARRERAK,,130481.0,130481.0,23553.17,23553.17,0.0,40.95
2 310.37.342.00 2020,939.0,KIROLDEGIKO KARNETA BERRIAK,,100.0,100.0,408.7,408.7,0.0,0.0
2 311.01.000.00 2020,23.0,ESTABLEZIMENDUAK IREKITZEKO BAIMENA,,20160.0,20160.0,4763.51,4098.61,664.9,0.0
2 311.02.000.00 2020,24.0,AUTOTAXIEN LIZENTZIA,,100.0,100.0,4195.75,41.55,4154.2,0.0
2 312.01.000.00 2020,25.0,HIRIGINTZA BAIMENAK EMATEA,,65266.0,65266.0,90854.69,71236.99,19617.7,3578.74
2 312.02.000.00 2020,26.0,ESPEDIENTE URBANISTIKOEN BIDERATZEA,,100.0,100.0,0.0,0.0,0.0,0.0
2 312.03.000.00 2020,489.0,KARTOGRAFIA EGUNERATZEA,,5000.0,5000.0,4721.2,4361.0,360.2,0.0
2 321.03.000.00 2020,28.0,"HESIAK, ALDAMIOAK, EDUKIONTZIAK",,18112.0,18112.0,47082.15,38972.62,8109.53,0.0
2 321.04.000.00 2020,29.0,MAHAI ETA ESERLEKUAK,,24708.0,24708.0,0.0,0.0,0.0,0.0
2 321.05.000.00 2020,30.0,"SALMENTA POSTUAK, BARRAKA, ETAB.",,12568.0,12568.0,3218.28,2642.88,575.4,1633.3
2 321.09.000.00 2020,31.0,"LURZORUA,.HORNID-ZERB.ENPRESEN ALDE",,643538.0,643538.0,816833.21,791700.22,25132.99,0.0
2 321.10.000.00 2020,11.0,FERIA,,37500.0,37500.0,29374.84,22097.11,7277.73,0.0
2 321.11.000.00 2020,540.0,SARRERA KONTROLATZEKO TXARTELAK,,1000.0,1000.0,460.0,460.0,0.0,0.0
2 321.13.000.00 2020,834.0,KUTXAZAIN AUTOMATIKOAK,,2500.0,2500.0,2534.0,2217.25,316.75,0.0
2 321.99.000.00 2020,32.0,BESTE TASAK.JARDUERARENTZAT,,15000.0,15000.0,8736.0,0.0,8736.0,0.0
