Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.100.01.912.00 2021,4245.0,SOLDATAK.GOBERNU ORGANOAK,232120.0,232120.0,0.0,19722.05,212397.95,19722.05,19722.05,19722.05,19722.05,2021,91200,,1,,01
1 01.110.01.132.00 2021,5608.0,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,54030.0,54030.0,0.0,3859.4,50170.6,3859.4,3859.4,3859.4,3859.4,2021,13200,,1,,01
1 01.110.01.912.00 2021,4246.0,SOLDATAK. PERTS.BEREZIA.GOBERNU ORGANOAK,68750.0,68750.0,0.0,4827.5,63922.5,4827.5,4827.5,4827.5,4827.5,2021,91200,,1,,01
1 01.120.01.132.00 2021,4247.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UDALTZAI,421590.0,421590.0,0.0,24315.9,397274.1,24315.9,24315.9,24315.9,24315.9,2021,13200,,1,,01
1 01.120.01.151.00 2021,4248.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HIRIGINT,178910.0,178910.0,0.0,8517.81,170392.19,8517.81,8517.81,8517.81,8517.81,2021,15100,,1,,01
1 01.120.01.153.40 2021,4249.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.OBRETAKO,227760.0,227760.0,0.0,13204.25,214555.75,13204.25,13204.25,13204.25,13204.25,2021,15340,,1,,01
1 01.120.01.161.00 2021,4251.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.UR HORNI,61700.0,61700.0,0.0,3032.01,58667.99,3032.01,3032.01,3032.01,3032.01,2021,16100,,1,,01
1 01.120.01.164.00 2021,4252.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.HILERRIA,10920.0,10920.0,0.0,0.0,10920.0,0.0,0.0,0.0,0.0,2021,16400,,1,,01
1 01.120.01.165.00 2021,4253.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.KALEKO A,11910.0,11910.0,0.0,1161.09,10748.91,1161.09,1161.09,1161.09,1161.09,2021,16500,,1,,01
1 01.120.01.172.20 2021,4254.0,FUNTZIONARIOAK.SOLDATA.OINARRIA.INGURUME,20870.0,20870.0,0.0,1579.4,19290.6,1579.4,1579.4,1579.4,1579.4,2021,17220,,1,,01
